trace_id,method,method_selection_status,nuts_and_bolts_behavior,module,implementation,config,run_cells,outputs,tests,status
METHOD-SAN-MAJ,majority/frequency,REQUIRED,always if training labels legal; hard label; prior vector separately diagnostic,L2-M01,src/iharq/layer2_decoders/models + training,p02_model_portfolio.yaml + p02_planned_scientific_execution_freeze_R3.yaml,p02_run_matrix_R3.yaml / p02_full_ablation_planned_run_cells_R3.*,PredictionRecord; ModelRegistryRecord; metrics/failure evidence as applicable,T-MOD-01; T-SCORE-01; branch admission/reload tests,MAPPED
METHOD-SAN-STRAT,seeded stratified random,REQUIRED,training-role frequency vector + registered seed; probability/prior-based stochastic output where implementation supports,L2-M01,src/iharq/layer2_decoders/models + training,p02_model_portfolio.yaml + p02_planned_scientific_execution_freeze_R3.yaml,p02_run_matrix_R3.yaml / p02_full_ablation_planned_run_cells_R3.*,PredictionRecord; ModelRegistryRecord; metrics/failure evidence as applicable,T-MOD-01; T-SCORE-01; branch admission/reload tests,MAPPED
METHOD-SAN-PERM,grouped full-pipeline source-event label permutation,REQUIRED_DIAGNOSTIC,training role only; group/source-event atomicity; native selected simple pipeline output,L2-M01,src/iharq/layer2_decoders/models + training,p02_model_portfolio.yaml + p02_planned_scientific_execution_freeze_R3.yaml,p02_run_matrix_R3.yaml / p02_full_ablation_planned_run_cells_R3.*,PredictionRecord; ModelRegistryRecord; metrics/failure evidence as applicable,T-MOD-01; T-SCORE-01; branch admission/reload tests,MAPPED
METHOD-SAN-PRIOR,training-prior vector,DIAGNOSTIC_ONLY,training-role class frequencies; prior vector,L2-M01,src/iharq/layer2_decoders/models + training,p02_model_portfolio.yaml + p02_planned_scientific_execution_freeze_R3.yaml,p02_run_matrix_R3.yaml / p02_full_ablation_planned_run_cells_R3.*,PredictionRecord; ModelRegistryRecord; metrics/failure evidence as applicable,T-MOD-01; T-SCORE-01; branch admission/reload tests,MAPPED
METHOD-DIAG-LOGVAR,log-bandpower/log-variance + L2 logistic,DIAGNOSTIC_ONLY,legal train fit and score semantics; logistic native,L2-M01,src/iharq/layer2_decoders/models + training,p02_model_portfolio.yaml + p02_planned_scientific_execution_freeze_R3.yaml,p02_run_matrix_R3.yaml / p02_full_ablation_planned_run_cells_R3.*,PredictionRecord; ModelRegistryRecord; metrics/failure evidence as applicable,T-MOD-01; T-SCORE-01; branch admission/reload tests,MAPPED
METHOD-CLS-CSP-LDA,CSP + shrinkage LDA,SELECTED_MAXIMUM_SCOPE,P01 compatibility + valid train fit; labels + native posterior/decision semantics recorded,L2-M01,src/iharq/layer2_decoders/models + training,p02_model_portfolio.yaml + p02_planned_scientific_execution_freeze_R3.yaml,p02_run_matrix_R3.yaml / p02_full_ablation_planned_run_cells_R3.*,PredictionRecord; ModelRegistryRecord; metrics/failure evidence as applicable,T-MOD-01; T-SCORE-01; branch admission/reload tests,MAPPED
METHOD-CLS-FBCSP-LR,FBCSP + L2 logistic,SELECTED_MAXIMUM_SCOPE,filter-bank provenance + legal train fit; logistic scores/probabilities,L2-M01,src/iharq/layer2_decoders/models + training,p02_model_portfolio.yaml + p02_planned_scientific_execution_freeze_R3.yaml,p02_run_matrix_R3.yaml / p02_full_ablation_planned_run_cells_R3.*,PredictionRecord; ModelRegistryRecord; metrics/failure evidence as applicable,T-MOD-01; T-SCORE-01; branch admission/reload tests,MAPPED
METHOD-RIE-TS-LR,shrinkage covariance -> tangent space -> L2 logistic,SELECTED_MAXIMUM_SCOPE,legal covariance/tangent reference train fit; logistic scores/probabilities,L2-M01,src/iharq/layer2_decoders/models + training,p02_model_portfolio.yaml + p02_planned_scientific_execution_freeze_R3.yaml,p02_run_matrix_R3.yaml / p02_full_ablation_planned_run_cells_R3.*,PredictionRecord; ModelRegistryRecord; metrics/failure evidence as applicable,T-MOD-01; T-SCORE-01; branch admission/reload tests,MAPPED
METHOD-RIE-EA-TS,train-safe Euclidean Alignment + tangent/logistic,CONDITIONALLY_SELECTED,fit only legal train/adaptation role; matched aligned/unaligned comparison; native terminal classifier output,L2-M01,src/iharq/layer2_decoders/models + training,p02_model_portfolio.yaml + p02_planned_scientific_execution_freeze_R3.yaml,p02_run_matrix_R3.yaml / p02_full_ablation_planned_run_cells_R3.*,PredictionRecord; ModelRegistryRecord; metrics/failure evidence as applicable,T-MOD-01; T-SCORE-01; branch admission/reload tests,MAPPED
METHOD-RIE-MDM,MDM/FgMDM,DIAGNOSTIC_ONLY,score semantics explicitly distance-derived; not calibrated probability; distance-derived simplex/labels,L2-M01,src/iharq/layer2_decoders/models + training,p02_model_portfolio.yaml + p02_planned_scientific_execution_freeze_R3.yaml,p02_run_matrix_R3.yaml / p02_full_ablation_planned_run_cells_R3.*,PredictionRecord; ModelRegistryRecord; metrics/failure evidence as applicable,T-MOD-01; T-SCORE-01; branch admission/reload tests,MAPPED
METHOD-DNN-EEGNET,EEGNet,SELECTED_MAXIMUM_SCOPE,input/output/resource compatibility; native logits/probabilities with exact semantics,L2-M01,src/iharq/layer2_decoders/models + training,p02_model_portfolio.yaml + p02_planned_scientific_execution_freeze_R3.yaml,p02_run_matrix_R3.yaml / p02_full_ablation_planned_run_cells_R3.*,PredictionRecord; ModelRegistryRecord; metrics/failure evidence as applicable,T-MOD-01; T-SCORE-01; branch admission/reload tests,MAPPED
METHOD-DNN-FBCNET,FBCNet,CONDITIONALLY_SELECTED,original-author implementation or demonstrated equivalence; resource/input gates; native logits,L2-M01,src/iharq/layer2_decoders/models + training,p02_model_portfolio.yaml + p02_planned_scientific_execution_freeze_R3.yaml,p02_run_matrix_R3.yaml / p02_full_ablation_planned_run_cells_R3.*,PredictionRecord; ModelRegistryRecord; metrics/failure evidence as applicable,T-MOD-01; T-SCORE-01; branch admission/reload tests,MAPPED
METHOD-DNN-SEQ,DBConformer preferred; EEG Conformer direct fallback/matched comparator,CONDITIONALLY_SELECTED_ONE_FINAL_SLOT,DBConformer first; if any admission gate fails use EEG Conformer; no final-test selection; native logits/probabilities semantics verified,L2-M01,src/iharq/layer2_decoders/models + training,p02_model_portfolio.yaml + p02_planned_scientific_execution_freeze_R3.yaml,p02_run_matrix_R3.yaml / p02_full_ablation_planned_run_cells_R3.*,PredictionRecord; ModelRegistryRecord; metrics/failure evidence as applicable,T-MOD-01; T-SCORE-01; branch admission/reload tests,MAPPED
METHOD-DNN-EGTC,EEG-TCNet,SCREENED_LOW_RESOURCE_FALLBACK,pre-result fallback only if DBConformer and EEG Conformer are both RESOURCE_BLOCKED/INCOMPATIBLE at Stage12; no human reopen or test-driven activation; native logits,L2-M01,src/iharq/layer2_decoders/models + training,p02_model_portfolio.yaml + p02_planned_scientific_execution_freeze_R3.yaml,p02_run_matrix_R3.yaml / p02_full_ablation_planned_run_cells_R3.*,PredictionRecord; ModelRegistryRecord; metrics/failure evidence as applicable,T-MOD-01; T-SCORE-01; branch admission/reload tests,MAPPED
METHOD-SSL-CBRAMOD,CBraMod,CONDITIONALLY_SELECTED,checkpoint hash + corpus-overlap + license + channel/montage + 200-Hz model-local adapter + resource + output + reload gates; native logits,L2-M07,src/iharq/layer2_decoders/models + training,p02_model_portfolio.yaml + p02_planned_scientific_execution_freeze_R3.yaml,p02_run_matrix_R3.yaml / p02_full_ablation_planned_run_cells_R3.*,PredictionRecord; ModelRegistryRecord; metrics/failure evidence as applicable,T-MOD-01; T-SCORE-01; branch admission/reload tests,MAPPED
METHOD-SSL-REVE,REVE,DIAGNOSTIC_ONLY,documentary/bounded diagnostic only under current authority; as declared by implementation,L2-M07,src/iharq/layer2_decoders/models + training,p02_model_portfolio.yaml + p02_planned_scientific_execution_freeze_R3.yaml,p02_run_matrix_R3.yaml / p02_full_ablation_planned_run_cells_R3.*,PredictionRecord; ModelRegistryRecord; metrics/failure evidence as applicable,T-MOD-01; T-SCORE-01; branch admission/reload tests,MAPPED
METHOD-A4-C0-CORE,core reference,P02_A4_REQUIRED_CONDITION,exact P01 A4 R2 substrate; parent-matched ordinary control; fixed aggregation and anti-leakage rules,L2-M06,ensemble comparison builder,p02_full_ablation_execution_contract_R3.yaml,p02_full_ablation_planned_run_cells_R3.*,EnsembleControlRecord; matched comparison/metric/figure/table source data,T-ENS-01; T-A4-01; T-A4-FULL-02,MAPPED
METHOD-A4-C1-LONG-3P5S,longer-window control,P02_A4_REQUIRED_CONDITION,exact P01 A4 R2 substrate; parent-matched ordinary control; fixed aggregation and anti-leakage rules,L2-M06,ensemble comparison builder,p02_full_ablation_execution_contract_R3.yaml,p02_full_ablation_planned_run_cells_R3.*,EnsembleControlRecord; matched comparison/metric/figure/table source data,T-ENS-01; T-A4-01; T-A4-FULL-02,MAPPED
