responsibility_id,governing_sources,exact_source_locations,responsibility_owner,participating_layers,required_behavior,required_inputs,required_outputs,required_tests_or_gates,protocol_binding,analysis_reporting_requirement,downstream_consumer,observed_implementation_paths,observed_artifacts,observed_evidence,status,defect_or_limitation_id
RSP-01,"[""GOV-V4"", ""ARCH-T29-R1"", ""REG-R44"", ""PLAN-R41"", ""PROT0-R42"", ""PLAY-R41"", ""MSEL-R2"", ""NB-R2""]","[""independent requirement matrix""]",Implementation,"[""L0-L10""]",Repository and package structure,"[""current authority stack""]","[""repository skeleton"", ""package manifest""]","[""tests/test_repository_structure.py""]",IHARQ-PROTOCOL-V1-P00-ANNEX-R2,Analysis R4 section 31/32,P01-P15 or publication owner,"[""repository skeleton"", ""package manifest""]","[""repository skeleton"", ""package manifest""]","[""tests/test_repository_structure.py""]",PASS,
RSP-02,"[""GOV-V4"", ""ARCH-T29-R1"", ""REG-R44"", ""PLAN-R41"", ""PROT0-R42"", ""PLAY-R41"", ""MSEL-R2"", ""NB-R2""]","[""independent requirement matrix""]",Registry,"[""L0-L10""]",Canonical and local schema realization,"[""current authority stack""]","[""schemas/"", ""schema catalog""]","[""tests/test_schema_validation.py""]",IHARQ-PROTOCOL-V1-P00-ANNEX-R2,Analysis R4 section 31/32,P01-P15 or publication owner,"[""schemas/"", ""schema catalog""]","[""schemas/"", ""schema catalog""]","[""tests/test_schema_validation.py""]",PASS,
RSP-03,"[""GOV-V4"", ""ARCH-T29-R1"", ""REG-R44"", ""PLAN-R41"", ""PROT0-R42"", ""PLAY-R41"", ""MSEL-R2"", ""NB-R2""]","[""independent requirement matrix""]",Registry/Nuts-and-Bolts,"[""L0-L10""]",Configuration hierarchy and semantic hashing,"[""current authority stack""]","[""configs/"", ""config catalog""]","[""tests/test_config_resolution.py"", ""tests/test_canonical.py""]",IHARQ-PROTOCOL-V1-P00-ANNEX-R2,Analysis R4 section 31/32,P01-P15 or publication owner,"[""configs/"", ""config catalog""]","[""configs/"", ""config catalog""]","[""tests/test_config_resolution.py"", ""tests/test_canonical.py""]",PASS,
RSP-04,"[""GOV-V4"", ""ARCH-T29-R1"", ""REG-R44"", ""PLAN-R41"", ""PROT0-R42"", ""PLAY-R41"", ""MSEL-R2"", ""NB-R2""]","[""independent requirement matrix""]",Registry,"[""L0-L10""]","Stable IDs, serialization, lineage, lifecycle, supersession, and manifests","[""current authority stack""]","[""src/iharq/canonical.py"", ""manifests/""]","[""tests/test_canonical.py"", ""tests/test_lineage_lifecycle.py""]",IHARQ-PROTOCOL-V1-P00-ANNEX-R2,Analysis R4 section 31/32,P01-P15 or publication owner,"[""src/iharq/canonical.py"", ""manifests/""]","[""src/iharq/canonical.py"", ""manifests/""]","[""tests/test_canonical.py"", ""tests/test_lineage_lifecycle.py""]",PASS,
RSP-05,"[""GOV-V4"", ""ARCH-T29-R1"", ""REG-R44"", ""PLAN-R41"", ""PROT0-R42"", ""PLAY-R41"", ""MSEL-R2"", ""NB-R2""]","[""independent requirement matrix""]",Architecture/Plan,"[""L0-L10""]",Valid and malformed fail-closed fixtures,"[""current authority stack""]","[""fixtures/valid"", ""fixtures/integrated"", ""fixtures/invalid""]","[""tests/test_valid_fixtures.py"", ""tests/test_negative_fixtures.py""]",IHARQ-PROTOCOL-V1-P00-ANNEX-R2,Analysis R4 section 31/32,P01-P15 or publication owner,"[""fixtures/valid"", ""fixtures/integrated"", ""fixtures/invalid""]","[""fixtures/valid"", ""fixtures/integrated"", ""fixtures/invalid""]","[""tests/test_valid_fixtures.py"", ""tests/test_negative_fixtures.py""]",PASS,
RSP-06,"[""GOV-V4"", ""ARCH-T29-R1"", ""REG-R44"", ""PLAN-R41"", ""PROT0-R42"", ""PLAY-R41"", ""MSEL-R2"", ""NB-R2""]","[""independent requirement matrix""]",Plan/Playbook,"[""L0-L10""]",Deterministic unit/schema/contract/integration/negative/reproduction tests,"[""current authority stack""]","[""tests/"", ""scripts/""]","[""pytest full suite""]",IHARQ-PROTOCOL-V1-P00-ANNEX-R2,Analysis R4 section 31/32,P01-P15 or publication owner,"[""tests/"", ""scripts/""]","[""tests/"", ""scripts/""]","[""pytest full suite""]",PASS,
RSP-07,"[""GOV-V4"", ""ARCH-T29-R1"", ""REG-R44"", ""PLAN-R41"", ""PROT0-R42"", ""PLAY-R41"", ""MSEL-R2"", ""NB-R2""]","[""independent requirement matrix""]",Architecture/Plan,"[""L0-L10""]",Layers 0-10 Phase 0 foundation contracts,"[""current authority stack""]","[""catalogs/final_all_layer_artifact_matrix.yaml""]","[""official layer audits 1-3""]",IHARQ-PROTOCOL-V1-P00-ANNEX-R2,Analysis R4 section 31/32,P01-P15 or publication owner,"[""catalogs/final_all_layer_artifact_matrix.yaml""]","[""catalogs/final_all_layer_artifact_matrix.yaml""]","[""official layer audits 1-3""]",PASS,
RSP-08,"[""GOV-V4"", ""ARCH-T29-R1"", ""REG-R44"", ""PLAN-R41"", ""PROT0-R42"", ""PLAY-R41"", ""MSEL-R2"", ""NB-R2""]","[""independent requirement matrix""]",Plan,"[""L0-L10""]",P00 execution and P01-P15 contract readiness,"[""current authority stack""]","[""contracts/phases/""]","[""tests/test_final_implementation_completeness.py""]",IHARQ-PROTOCOL-V1-P00-ANNEX-R2,Analysis R4 section 31/32,P01-P15 or publication owner,"[""contracts/phases/""]","[""contracts/phases/""]","[""tests/test_final_implementation_completeness.py""]",PASS,
RSP-09,"[""GOV-V4"", ""ARCH-T29-R1"", ""REG-R44"", ""PLAN-R41"", ""PROT0-R42"", ""PLAY-R41"", ""MSEL-R2"", ""NB-R2""]","[""independent requirement matrix""]",Protocol,"[""L1-L10""]",A0-A13 readiness and future activation hooks,"[""current authority stack""]","[""catalogs/final_ablation_readiness_matrix.yaml""]","[""tests/test_phase0_ablation_readiness_and_unlocks.py""]",IHARQ-PROTOCOL-V1-P00-ANNEX-R2,Analysis R4 section 31/32,P01-P15 or publication owner,"[""catalogs/final_ablation_readiness_matrix.yaml""]","[""catalogs/final_ablation_readiness_matrix.yaml""]","[""tests/test_phase0_ablation_readiness_and_unlocks.py""]",PASS,
RSP-10,"[""GOV-V4"", ""ARCH-T29-R1"", ""REG-R44"", ""PLAN-R41"", ""PROT0-R42"", ""PLAY-R41"", ""MSEL-R2"", ""NB-R2""]","[""independent requirement matrix""]",Protocol/Architecture,"[""L0-L10""]",A14 prohibition and fail-closed rejection,"[""current authority stack""]","[""fixtures/invalid/a14.json""]","[""tests/test_phase0_ablation_readiness_and_unlocks.py""]",IHARQ-PROTOCOL-V1-P00-ANNEX-R2,Analysis R4 section 31/32,P01-P15 or publication owner,"[""fixtures/invalid/a14.json""]","[""fixtures/invalid/a14.json""]","[""tests/test_phase0_ablation_readiness_and_unlocks.py""]",PASS,
RSP-11,"[""GOV-V4"", ""ARCH-T29-R1"", ""REG-R44"", ""PLAN-R41"", ""PROT0-R42"", ""PLAY-R41"", ""MSEL-R2"", ""NB-R2""]","[""independent requirement matrix""]",Protocol,"[""L0""]",Protocol v1.0 Master and P00 Annex,"[""current authority stack""]","[""docs/authorities/protocol_v1_0/""]","[""tests/test_protocol_v1_package.py""]",IHARQ-PROTOCOL-V1-P00-ANNEX-R2,Analysis R4 section 31/32,P01-P15 or publication owner,"[""docs/authorities/protocol_v1_0/""]","[""docs/authorities/protocol_v1_0/""]","[""tests/test_protocol_v1_package.py""]",PASS,
RSP-12,"[""GOV-V4"", ""ARCH-T29-R1"", ""REG-R44"", ""PLAN-R41"", ""PROT0-R42"", ""PLAY-R41"", ""MSEL-R2"", ""NB-R2""]","[""independent requirement matrix""]",Protocol/Analysis,"[""L0-L10""]",Registered Phase 0 execution release,"[""current authority stack""]","[""reports/phase_00_analysis/execution_release_R2/""]","[""19 registered cells""]",IHARQ-PROTOCOL-V1-P00-ANNEX-R2,Analysis R4 section 31/32,P01-P15 or publication owner,"[""reports/phase_00_analysis/execution_release_R2/""]","[""reports/phase_00_analysis/execution_release_R2/""]","[""19 registered cells""]",PASS,
RSP-13,"[""GOV-V4"", ""ARCH-T29-R1"", ""REG-R44"", ""PLAN-R41"", ""PROT0-R42"", ""PLAY-R41"", ""MSEL-R2"", ""NB-R2""]","[""independent requirement matrix""]",Analysis,"[""L0-L10""]",Phase 0 analysis release and report,"[""current authority stack""]","[""analysis R4 successor""]","[""tests/test_phase0_analysis_ablation_coverage.py""]",IHARQ-PROTOCOL-V1-P00-ANNEX-R2,Analysis R4 section 31/32,P01-P15 or publication owner,"[""analysis R4 successor""]","[""analysis R4 successor""]","[""tests/test_phase0_analysis_ablation_coverage.py""]",PASS,
RSP-14,"[""GOV-V4"", ""ARCH-T29-R1"", ""REG-R44"", ""PLAN-R41"", ""PROT0-R42"", ""PLAY-R41"", ""MSEL-R2"", ""NB-R2""]","[""independent requirement matrix""]",Layer 0,"[""L0""]",Layer 0 disposition and wording governance,"[""current authority stack""]","[""docs/layer0/phase_00/""]","[""Layer0 audit""]",IHARQ-PROTOCOL-V1-P00-ANNEX-R2,Analysis R4 section 31/32,P01-P15 or publication owner,"[""docs/layer0/phase_00/""]","[""docs/layer0/phase_00/""]","[""Layer0 audit""]",PASS,
RSP-15,"[""GOV-V4"", ""ARCH-T29-R1"", ""REG-R44"", ""PLAN-R41"", ""PROT0-R42"", ""PLAY-R41"", ""MSEL-R2"", ""NB-R2""]","[""independent requirement matrix""]",Evidence Map,"[""L0"", ""L10""]",Evidence Map claim-chain closure,"[""current authority stack""]","[""docs/evidence_map/phase_00/"", ""reports/evidence_map/phase_00/""]","[""Evidence Map audit""]",IHARQ-PROTOCOL-V1-P00-ANNEX-R2,Analysis R4 section 31/32,P01-P15 or publication owner,"[""docs/evidence_map/phase_00/"", ""reports/evidence_map/phase_00/""]","[""docs/evidence_map/phase_00/"", ""reports/evidence_map/phase_00/""]","[""Evidence Map audit""]",PASS,
RSP-16,"[""GOV-V4"", ""ARCH-T29-R1"", ""REG-R44"", ""PLAN-R41"", ""PROT0-R42"", ""PLAY-R41"", ""MSEL-R2"", ""NB-R2""]","[""independent requirement matrix""]",Layer 10,"[""L10""]",Basic P00 Layer 10 read-only package,"[""current authority stack""]","[""docs/layer10/phase_00/"", ""reports/layer10/phase_00/""]","[""Layer10 source-value audit""]",IHARQ-PROTOCOL-V1-P00-ANNEX-R2,Analysis R4 section 31/32,P01-P15 or publication owner,"[""docs/layer10/phase_00/"", ""reports/layer10/phase_00/""]","[""docs/layer10/phase_00/"", ""reports/layer10/phase_00/""]","[""Layer10 source-value audit""]",PASS,
