evaluation_id,requirement,run_cells,raw_evidence,metric_statistic,figure_table_source,validator_gate,phase_analysis_consumer,status
EVAL-A0-RAW,A0 raw decoder / accept-all baseline,A0 planned cells,PredictionRecord + BaselineMetricRecord,BACC/F1/ACC/AUC/confusion + participant aggregation,A0 metric/subject tables and figures,T-A0-FULL-02; G15,P02 Phase Analysis A0 result,MAPPED_COMPLETE
EVAL-SAN-PERM,grouped permutation negative control,SAN-PERM A0 cells,PredictionRecord + failure/diagnostic evidence,registered A0 metrics across 100 permutations,permutation source table,T-ABL-01; G08/G15,pipeline/leakage diagnostic,MAPPED_COMPLETE
EVAL-MODEL-COMP,decoder-family comparison,A0 FULL_TRAIN matched dataset/participant cells,PredictionRecord + BaselineMetricRecord + ModelRegistryRecord,matched BACC primary + frozen inference,model comparison table/figure source,T-MET-01; G15,baseline model evidence,MAPPED_COMPLETE
EVAL-LOW-LABEL,low-calibration curves,eligible inherited budget cells,LowCalibrationCurveRecord,BACC/F1/ACC by 1/2/4/8/16/32 per class; single frozen subset limitation,curve source table,T-BUD-01; G16,low-label analysis,MAPPED_COMPLETE
EVAL-SUBJECT,participant heterogeneity,accepted A0/A4 predictions,SubjectProfileRecord,descriptive participant metrics/coverage,participant distribution sources,T-READY-01; G17,participant heterogeneity analysis,MAPPED_COMPLETE
EVAL-SESSION,session heterogeneity,accepted rows with valid session IDs,SubjectProfileRecord/session source,descriptive session metrics/coverage,session distribution sources,T-READY-01; G17,session heterogeneity analysis,MAPPED_COMPLETE
EVAL-A4-LONG,A4 long vs core,A4-C1 vs A4-C0,EnsembleControlRecord + matched sources,matched metric deltas + burden + frozen statistics,A4 long figure/table sources,T-A4-FULL-02; G18,A4 duration result,MAPPED_COMPLETE
EVAL-A4-MVOTE,A4 multi-window hard vote,A4-C2 vs A4-C0,EnsembleControlRecord,matched metrics + disagreement/burden,A4 vote sources,T-ENS-01/T-A4-FULL-02; G18,A4 voting result,MAPPED_COMPLETE
EVAL-A4-MAVG,A4 multi-window probability average,A4-C3 vs A4-C0,EnsembleControlRecord,matched probability-eligible metrics + burden,A4 averaging sources,T-ENS-01/T-A4-FULL-02; G18,A4 averaging result,MAPPED_COMPLETE
EVAL-A4-EVOTE,ordinary model ensemble hard vote,A4-C4 vs frozen component references,EnsembleControlRecord,matched metrics + disagreement,ensemble vote sources,T-ENS-01/T-A4-FULL-02; G18,ordinary ensemble result,MAPPED_COMPLETE
EVAL-A4-EAVG,ordinary model ensemble probability average,A4-C5 vs frozen component references,EnsembleControlRecord,matched probability-eligible metrics + disagreement,ensemble average sources,T-ENS-01/T-A4-FULL-02; G18,ordinary ensemble average result,MAPPED_COMPLETE
EVAL-NEGFAIL,failure/negative-result completeness,all planned/attempted P02 cells,FailureCaseIndex + NegativeResultNote + DiagnosticOnlyFlag,terminal-state denominator and failure taxonomy summaries,failure/negative source tables,T-FAIL-01/T-ANALYSIS-NOCOMPUTE-02; G19/G23,failure/negative evidence analysis,MAPPED_COMPLETE
