candidate_claim_id,claim_text,supporting_findings,scope,numerical_support,statistical_support,literature_context,known_limitations,claim_ceiling,prohibited_stronger_wording,layer0_readiness
P02-CLAIM-CAND-001,"Under the frozen P01 subject-grouped binary motor-imagery protocol, P02 established a complete multi-family raw decoder/baseline measurement spine across three public EEG datasets.",P02-FIND-001,Layer-2 measurement infrastructure and evidence,see findings/statistical summary/traceability,HIGH,§14-15 as applicable,PUBLIC_EEG_ONLY | NO_CALIBRATION_POLICY_CLAIM,SUPPORTED,"Do not call P02 calibration-, threshold-, abstention-, safety-, or deployment-ready.",READY_FOR_REVIEW_NOT_APPROVED
P02-CLAIM-CAND-002,"Decoder-family performance was dataset-dependent rather than universally ordered: DBConformer was descriptively strongest at full training on Lee2019_MI and PhysioNetMI, while CSP-LDA led the single-participant BNCI2014_001 test split.",P02-FIND-002|P02-FIND-003,Full-training A0,see findings/statistical summary/traceability,HIGH_FOR_DESCRIPTION,§14-15 as applicable,DATASET_HETEROGENEITY | BNCI_TEST_PARTICIPANTS_1,SUPPORTED_WITH_QUALIFICATION,Do not claim one decoder is universally best across datasets or participants.,READY_FOR_REVIEW_NOT_APPROVED
P02-CLAIM-CAND-003,"PhysioNetMI exhibited statistically detectable overall decoder heterogeneity under the governed A0 comparison, but no individual alternative-versus-CSP-LDA contrast survived Holm correction.",P02-FIND-003,PhysioNetMI A0 full training,see findings/statistical summary/traceability,HIGH,§14-15 as applicable,MULTIPLICITY | PARTICIPANT_HETEROGENEITY,SUPPORTED_WITH_QUALIFICATION,Do not convert omnibus heterogeneity into a significant pairwise winner claim.,READY_FOR_REVIEW_NOT_APPROVED
P02-CLAIM-CAND-004,"Extreme low-label decoding remained difficult and non-monotonic under the single frozen subset design; P02 does not support a universal sample-efficiency ordering among CSP-LDA, tangent-space, EEGNet and CBraMod.",P02-FIND-005,1-32 labels/class low-label surface,see findings/statistical summary/traceability,MEDIUM_HIGH,§14-15 as applicable,SINGLE_FROZEN_SUBSET | NO_LOW_LABEL_REPEAT_STABILITY,SUPPORTED_WITH_QUALIFICATION,Do not claim stable sample-efficiency ordering or subset-robust low-label behavior.,READY_FOR_REVIEW_NOT_APPROVED
P02-CLAIM-CAND-005,"The Phase-02 training-correction history demonstrates that optimization/training-policy fidelity can materially affect whether an EEG architecture appears collapsed or viable, so optimization failure should not automatically be interpreted as architectural incapacity.",P02-FIND-006|P02-FIND-008,Methodological observation,see findings/statistical summary/traceability,MEDIUM_HIGH,§14-15 as applicable,POST_OBSERVATION_AMENDMENT | DIAGNOSTIC_VALIDATION_EVIDENCE,SUPPORTED_WITH_QUALIFICATION,Do not claim architecture superiority or theoretical invalidity of the original uniform policy.,READY_FOR_REVIEW_NOT_APPROVED
P02-CLAIM-CAND-006,The Stage-11 S&R diagnostic challenger did not yield a consistent participant-level BACC improvement over the canonical primary EEGNet across the three datasets.,P02-FIND-007,Diagnostic challenger only,see findings/statistical summary/traceability,HIGH,§14-15 as applicable,DIAGNOSTIC_ONLY,SUPPORTED,Do not claim the Stage11 challenger improved EEGNet generally.,READY_FOR_REVIEW_NOT_APPROVED
P02-CLAIM-CAND-007,"Within the canonical resource-constrained A4 execution, the C1-C3 longer/multi-view role controls did not produce statistically detectable improvements after the governed paired testing procedure.",P02-FIND-009|P02-FIND-010,A4 C1-C3 anchor/single-repeat governed scope,see findings/statistical summary/traceability,HIGH_FOR_TEST_RESULT,§14-15 as applicable,SINGLE_REPEAT | DEEP_ANCHOR_BUDGETS,SUPPORTED_WITH_QUALIFICATION,"Do not claim zero A4 effect, five-repeat stability, dense deep-budget characterization, or full-grid equivalence.",READY_FOR_REVIEW_NOT_APPROVED
P02-CLAIM-CAND-008,A hard-vote model ensemble was not uniformly beneficial: one governed PhysioNetMI full-training comparison showed a Holm-significant disadvantage relative to the validation-selected strongest constituent.,P02-FIND-011,Specific C4 PhysioNetMI full-training repeat-4 identity,see findings/statistical summary/traceability,HIGH_FOR_CELL,§14-15 as applicable,CELL_SPECIFIC_EFFECT,SUPPORTED_WITH_QUALIFICATION,Do not claim ensembles are generally inferior; one corrected comparison was negative.,READY_FOR_REVIEW_NOT_APPROVED
P02-CLAIM-CAND-009,"Post-hoc Stage18S sensitivity evidence indicates that A4 effect direction can change across repeats and budgets, reinforcing the Protocol restriction against five-repeat stability or dense-budget response claims from canonical Stage18.",P02-FIND-012,Post-hoc sensitivity,see findings/statistical summary/traceability,HIGH_FOR_DESCRIPTION,§14-15 as applicable,POST_HOC_ONLY | THREE_REPEAT_NOT_FIVE_REPEAT,POST_HOC_ONLY,Do not present Stage18S as confirmatory or as modifying G18.,READY_FOR_REVIEW_NOT_APPROVED
P02-CLAIM-CAND-010,"P02 provides a fail-closed, provenance-rich Layer-2 evidence substrate for downstream phases while preserving unsuccessful, incompatible, skipped and diagnostic outcomes rather than retaining successful models only.",P02-FIND-013|P02-FIND-014,Reproducibility/downstream readiness,see findings/statistical summary/traceability,HIGH,§14-15 as applicable,DOWNSTREAM_SCIENCE_NOT_EXECUTED,SUPPORTED,Do not equate technical evidence readiness with deployment readiness.,READY_FOR_REVIEW_NOT_APPROVED
