planned_run_cell_id,dataset_id,budget_id,budget_short,role_id,condition_id,condition_short,model_repeat_index,source_partition,resolved_branch,metric_path,BACC,F1_MACRO,ACC,ROC_AUC
P02-A4S-R1-BNCI2014_001-NEURAL-A4-C1-LONG-3P5S-FULL_TRAIN-MR01,BNCI2014_001,FULL_TRAIN,FULL,NEURAL,A4-C1-LONG-3P5S,C1,1,REUSED_PREDECESSOR_ANCHOR_REPEAT,DNN-EEGNET,/kaggle/working/iharq_p02_integrated_1_256_R1/runtime/supplements/stage18S_balanced_sensitivity_R1/metrics/P02-A4S-R1-BNCI2014_001-NEURAL-A4-C1-LONG-3P5S-FULL_TRAIN-MR01.json,0.6319444444444444,0.627906976744186,0.6319444444444444,0.6888020833333334
P02-A4S-R1-BNCI2014_001-NEURAL-A4-C1-LONG-3P5S-FULL_TRAIN-MR02,BNCI2014_001,FULL_TRAIN,FULL,NEURAL,A4-C1-LONG-3P5S,C1,2,REUSED_PREDECESSOR_ANCHOR_REPEAT,DNN-EEGNET,/kaggle/working/iharq_p02_integrated_1_256_R1/runtime/supplements/stage18S_balanced_sensitivity_R1/metrics/P02-A4S-R1-BNCI2014_001-NEURAL-A4-C1-LONG-3P5S-FULL_TRAIN-MR02.json,0.6180555555555556,0.5910569525481489,0.6180555555555556,0.6507040895061729
P02-A4S-R1-BNCI2014_001-NEURAL-A4-C1-LONG-3P5S-P01-L1-LOW-CAL-OFFICIAL-R2:128_PER_CLASS-MR00,BNCI2014_001,P01-L1-LOW-CAL-OFFICIAL-R2:128_PER_CLASS,128,NEURAL,A4-C1-LONG-3P5S,C1,0,NEW_HIGH_BUDGET_64_128_256,DNN-EEGNET,/kaggle/working/iharq_p02_integrated_1_256_R1/runtime/supplements/stage18S_balanced_sensitivity_R1/metrics/P02-A4S-R1-BNCI2014_001-NEURAL-A4-C1-LONG-3P5S-P01-L1-LOW-CAL-OFFICIAL-R2:128_PER_CLASS-MR00.json,0.59375,0.588345244639912,0.59375,0.6800250771604939
P02-A4S-R1-BNCI2014_001-NEURAL-A4-C1-LONG-3P5S-P01-L1-LOW-CAL-OFFICIAL-R2:128_PER_CLASS-MR01,BNCI2014_001,P01-L1-LOW-CAL-OFFICIAL-R2:128_PER_CLASS,128,NEURAL,A4-C1-LONG-3P5S,C1,1,NEW_HIGH_BUDGET_64_128_256,DNN-EEGNET,/kaggle/working/iharq_p02_integrated_1_256_R1/runtime/supplements/stage18S_balanced_sensitivity_R1/metrics/P02-A4S-R1-BNCI2014_001-NEURAL-A4-C1-LONG-3P5S-P01-L1-LOW-CAL-OFFICIAL-R2:128_PER_CLASS-MR01.json,0.6076388888888888,0.5774329676037135,0.6076388888888888,0.6959876543209877
P02-A4S-R1-BNCI2014_001-NEURAL-A4-C1-LONG-3P5S-P01-L1-LOW-CAL-OFFICIAL-R2:128_PER_CLASS-MR02,BNCI2014_001,P01-L1-LOW-CAL-OFFICIAL-R2:128_PER_CLASS,128,NEURAL,A4-C1-LONG-3P5S,C1,2,NEW_HIGH_BUDGET_64_128_256,DNN-EEGNET,/kaggle/working/iharq_p02_integrated_1_256_R1/runtime/supplements/stage18S_balanced_sensitivity_R1/metrics/P02-A4S-R1-BNCI2014_001-NEURAL-A4-C1-LONG-3P5S-P01-L1-LOW-CAL-OFFICIAL-R2:128_PER_CLASS-MR02.json,0.6284722222222222,0.6256514291961759,0.6284722222222222,0.6994598765432098
P02-A4S-R1-BNCI2014_001-NEURAL-A4-C1-LONG-3P5S-P01-L1-LOW-CAL-OFFICIAL-R2:16_PER_CLASS-MR00,BNCI2014_001,P01-L1-LOW-CAL-OFFICIAL-R2:16_PER_CLASS,16,NEURAL,A4-C1-LONG-3P5S,C1,0,REUSED_PREDECESSOR_MR00_PROBE,DNN-EEGNET,/kaggle/working/iharq_p02_integrated_1_256_R1/runtime/supplements/stage18S_balanced_sensitivity_R1/metrics/P02-A4S-R1-BNCI2014_001-NEURAL-A4-C1-LONG-3P5S-P01-L1-LOW-CAL-OFFICIAL-R2:16_PER_CLASS-MR00.json,0.5,0.3333333333333333,0.5,0.5475501543209876
P02-A4S-R1-BNCI2014_001-NEURAL-A4-C1-LONG-3P5S-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR01,BNCI2014_001,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,1,NEURAL,A4-C1-LONG-3P5S,C1,1,REUSED_PREDECESSOR_ANCHOR_REPEAT,DNN-EEGNET,/kaggle/working/iharq_p02_integrated_1_256_R1/runtime/supplements/stage18S_balanced_sensitivity_R1/metrics/P02-A4S-R1-BNCI2014_001-NEURAL-A4-C1-LONG-3P5S-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR01.json,0.5034722222222222,0.42735577524715307,0.5034722222222222,0.5544463734567902
P02-A4S-R1-BNCI2014_001-NEURAL-A4-C1-LONG-3P5S-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR02,BNCI2014_001,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,1,NEURAL,A4-C1-LONG-3P5S,C1,2,REUSED_PREDECESSOR_ANCHOR_REPEAT,DNN-EEGNET,/kaggle/working/iharq_p02_integrated_1_256_R1/runtime/supplements/stage18S_balanced_sensitivity_R1/metrics/P02-A4S-R1-BNCI2014_001-NEURAL-A4-C1-LONG-3P5S-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR02.json,0.5208333333333333,0.47148936170212763,0.5208333333333334,0.5802951388888888
P02-A4S-R1-BNCI2014_001-NEURAL-A4-C1-LONG-3P5S-P01-L1-LOW-CAL-OFFICIAL-R2:256_PER_CLASS-MR00,BNCI2014_001,P01-L1-LOW-CAL-OFFICIAL-R2:256_PER_CLASS,256,NEURAL,A4-C1-LONG-3P5S,C1,0,NEW_HIGH_BUDGET_64_128_256,DNN-EEGNET,/kaggle/working/iharq_p02_integrated_1_256_R1/runtime/supplements/stage18S_balanced_sensitivity_R1/metrics/P02-A4S-R1-BNCI2014_001-NEURAL-A4-C1-LONG-3P5S-P01-L1-LOW-CAL-OFFICIAL-R2:256_PER_CLASS-MR00.json,0.6041666666666666,0.5985719176407297,0.6041666666666666,0.6694155092592593
P02-A4S-R1-BNCI2014_001-NEURAL-A4-C1-LONG-3P5S-P01-L1-LOW-CAL-OFFICIAL-R2:256_PER_CLASS-MR01,BNCI2014_001,P01-L1-LOW-CAL-OFFICIAL-R2:256_PER_CLASS,256,NEURAL,A4-C1-LONG-3P5S,C1,1,NEW_HIGH_BUDGET_64_128_256,DNN-EEGNET,/kaggle/working/iharq_p02_integrated_1_256_R1/runtime/supplements/stage18S_balanced_sensitivity_R1/metrics/P02-A4S-R1-BNCI2014_001-NEURAL-A4-C1-LONG-3P5S-P01-L1-LOW-CAL-OFFICIAL-R2:256_PER_CLASS-MR01.json,0.6840277777777777,0.6746085941670908,0.6840277777777778,0.7391975308641976
