ablation_id,official_identity,aliases,owner_layers,activation_phases,purpose,implementation_paths,selectors_and_configs,records_and_artifacts,validators_and_tests,protocol_hooks,comparison_and_matching_obligations,phase0_foundation_state,unlocked_by_phase0_completion,unlock_meaning,remaining_activation_conditions,activated_in_p00,executed_in_p00,nonexecution_reason,phase_analysis_locations,downstream_handoff,limitations,final_status
A0,Raw Decoder / Accept-All Raw Decoder Reference,"[""Raw decoder / accept-all reference""]","[""L1"", ""L2""]","[""P01"", ""P02""]",Raw Decoder / Accept-All Raw Decoder Reference,"[""catalogs/final_ablation_readiness_matrix.yaml"", ""manifests/ablation_readiness.yaml"", ""schemas/"", ""contracts/phases/""]","[""configs/project.yaml"", ""future Protocol annex selector required""]","[""DatasetRecord"", ""SplitRecord"", ""PreprocessingRecord"", ""PredictionRecord"", ""ModelRegistryRecord"", ""BaselineMetricRecord""]","[""scripts/run_phase0_final_implementation_audit.py"", ""tests/test_phase0_ablation_readiness_and_unlocks.py""]","[""Protocol v1.0 run-matrix and analysis-contract template""]","[""dataset_revision"", ""split_id"", ""subject/session/trial/window"", ""preprocessing_id"", ""model/checkpoint"", ""seed"", ""config_hash"", ""environment_id"", ""policy_mode"", ""stress_profile_id"", ""simulator_task_as_applicable""]",FOUNDATION_READY,True,"The schema/config/interface/validator foundation exists; a future phase may become technically executable only after its Protocol annex, inputs, environment, matching, and evidence conditions are frozen and accepted.","[""future phase Protocol lock"", ""upstream source/data/model artifacts"", ""exact environment/resources"", ""matched-comparison and fairness keys"", ""registered analysis contract"", ""evidence gate acceptance""]",False,False,P00 is ADMINISTRATIVE_FOUNDATION and has no active empirical ablations.,"[""Analysis R4 section 32 row A0""]",P01;P02,"[""No empirical result"", ""No effectiveness claim"", ""Mode B engineering evidence only""]",TECHNICALLY_UNLOCKED_FOR_FUTURE_PROTOCOL
A1,Calibrated Decoder / Calibration Visibility,"[""Calibration visibility""]","[""L2"", ""L3""]","[""P02"", ""P03""]",Calibrated Decoder / Calibration Visibility,"[""catalogs/final_ablation_readiness_matrix.yaml"", ""manifests/ablation_readiness.yaml"", ""schemas/"", ""contracts/phases/""]","[""configs/project.yaml"", ""future Protocol annex selector required""]","[""PredictionRecord"", ""CalibrationRecord"", ""MetricDictionaryEntry""]","[""scripts/run_phase0_final_implementation_audit.py"", ""tests/test_phase0_ablation_readiness_and_unlocks.py""]","[""Protocol v1.0 run-matrix and analysis-contract template""]","[""dataset_revision"", ""split_id"", ""subject/session/trial/window"", ""preprocessing_id"", ""model/checkpoint"", ""seed"", ""config_hash"", ""environment_id"", ""policy_mode"", ""stress_profile_id"", ""simulator_task_as_applicable""]",FOUNDATION_READY,True,"The schema/config/interface/validator foundation exists; a future phase may become technically executable only after its Protocol annex, inputs, environment, matching, and evidence conditions are frozen and accepted.","[""future phase Protocol lock"", ""upstream source/data/model artifacts"", ""exact environment/resources"", ""matched-comparison and fairness keys"", ""registered analysis contract"", ""evidence gate acceptance""]",False,False,P00 is ADMINISTRATIVE_FOUNDATION and has no active empirical ablations.,"[""Analysis R4 section 32 row A1""]",P02;P03,"[""No empirical result"", ""No effectiveness claim"", ""Mode B engineering evidence only""]",TECHNICALLY_UNLOCKED_FOR_FUTURE_PROTOCOL
A2,Simple Registered Threshold / Confidence-Threshold Baseline,"[""Simple registered threshold baseline""]","[""L2"", ""L3""]","[""P02"", ""P03""]",Simple Registered Threshold / Confidence-Threshold Baseline,"[""catalogs/final_ablation_readiness_matrix.yaml"", ""manifests/ablation_readiness.yaml"", ""schemas/"", ""contracts/phases/""]","[""configs/project.yaml"", ""future Protocol annex selector required""]","[""PredictionRecord"", ""ThresholdRegistryRecord"", ""SelectivePredictionRecord""]","[""scripts/run_phase0_final_implementation_audit.py"", ""tests/test_phase0_ablation_readiness_and_unlocks.py""]","[""Protocol v1.0 run-matrix and analysis-contract template""]","[""dataset_revision"", ""split_id"", ""subject/session/trial/window"", ""preprocessing_id"", ""model/checkpoint"", ""seed"", ""config_hash"", ""environment_id"", ""policy_mode"", ""stress_profile_id"", ""simulator_task_as_applicable""]",FOUNDATION_READY,True,"The schema/config/interface/validator foundation exists; a future phase may become technically executable only after its Protocol annex, inputs, environment, matching, and evidence conditions are frozen and accepted.","[""future phase Protocol lock"", ""upstream source/data/model artifacts"", ""exact environment/resources"", ""matched-comparison and fairness keys"", ""registered analysis contract"", ""evidence gate acceptance""]",False,False,P00 is ADMINISTRATIVE_FOUNDATION and has no active empirical ablations.,"[""Analysis R4 section 32 row A2""]",P02;P03,"[""No empirical result"", ""No effectiveness claim"", ""Mode B engineering evidence only""]",TECHNICALLY_UNLOCKED_FOR_FUTURE_PROTOCOL
A3,Uncertainty and Selective Prediction,"[""Uncertainty and selective prediction""]","[""L2"", ""L3""]","[""P02"", ""P03""]",Uncertainty and Selective Prediction,"[""catalogs/final_ablation_readiness_matrix.yaml"", ""manifests/ablation_readiness.yaml"", ""schemas/"", ""contracts/phases/""]","[""configs/project.yaml"", ""future Protocol annex selector required""]","[""PredictionRecord"", ""UncertaintyRecord"", ""SelectivePredictionRecord""]","[""scripts/run_phase0_final_implementation_audit.py"", ""tests/test_phase0_ablation_readiness_and_unlocks.py""]","[""Protocol v1.0 run-matrix and analysis-contract template""]","[""dataset_revision"", ""split_id"", ""subject/session/trial/window"", ""preprocessing_id"", ""model/checkpoint"", ""seed"", ""config_hash"", ""environment_id"", ""policy_mode"", ""stress_profile_id"", ""simulator_task_as_applicable""]",FOUNDATION_READY,True,"The schema/config/interface/validator foundation exists; a future phase may become technically executable only after its Protocol annex, inputs, environment, matching, and evidence conditions are frozen and accepted.","[""future phase Protocol lock"", ""upstream source/data/model artifacts"", ""exact environment/resources"", ""matched-comparison and fairness keys"", ""registered analysis contract"", ""evidence gate acceptance""]",False,False,P00 is ADMINISTRATIVE_FOUNDATION and has no active empirical ablations.,"[""Analysis R4 section 32 row A3""]",P02;P03,"[""No empirical result"", ""No effectiveness claim"", ""Mode B engineering evidence only""]",TECHNICALLY_UNLOCKED_FOR_FUTURE_PROTOCOL
A4,"Longer-Window, Multi-Window Voting/Averaging, and Ordinary Ensemble Controls","[""Ordinary combination control""]","[""L2"", ""L3"", ""L4""]","[""P02"", ""P03"", ""P04""]","Longer-Window, Multi-Window Voting/Averaging, and Ordinary Ensemble Controls","[""catalogs/final_ablation_readiness_matrix.yaml"", ""manifests/ablation_readiness.yaml"", ""schemas/"", ""contracts/phases/""]","[""configs/project.yaml"", ""future Protocol annex selector required""]","[""EnsembleControlRecord"", ""EvidenceQualityRecord"", ""IHARQDecisionRecord""]","[""scripts/run_phase0_final_implementation_audit.py"", ""tests/test_phase0_ablation_readiness_and_unlocks.py""]","[""Protocol v1.0 run-matrix and analysis-contract template""]","[""dataset_revision"", ""split_id"", ""subject/session/trial/window"", ""preprocessing_id"", ""model/checkpoint"", ""seed"", ""config_hash"", ""environment_id"", ""policy_mode"", ""stress_profile_id"", ""simulator_task_as_applicable""]",FOUNDATION_READY,True,"The schema/config/interface/validator foundation exists; a future phase may become technically executable only after its Protocol annex, inputs, environment, matching, and evidence conditions are frozen and accepted.","[""future phase Protocol lock"", ""upstream source/data/model artifacts"", ""exact environment/resources"", ""matched-comparison and fairness keys"", ""registered analysis contract"", ""evidence gate acceptance""]",False,False,P00 is ADMINISTRATIVE_FOUNDATION and has no active empirical ablations.,"[""Analysis R4 section 32 row A4""]",P02;P03;P04,"[""No empirical result"", ""No effectiveness claim"", ""Mode B engineering evidence only""]",TECHNICALLY_UNLOCKED_FOR_FUTURE_PROTOCOL
A5,IHARQ-lite / Rule-Based Evidence Verification,"[""IHARQ evidence decision baseline""]","[""L4""]","[""P04""]",IHARQ-lite / Rule-Based Evidence Verification,"[""catalogs/final_ablation_readiness_matrix.yaml"", ""manifests/ablation_readiness.yaml"", ""schemas/"", ""contracts/phases/""]","[""configs/project.yaml"", ""future Protocol annex selector required""]","[""EvidenceRequestRecord"", ""EvidenceQualityRecord"", ""IHARQDecisionRecord""]","[""scripts/run_phase0_final_implementation_audit.py"", ""tests/test_phase0_ablation_readiness_and_unlocks.py""]","[""Protocol v1.0 run-matrix and analysis-contract template""]","[""dataset_revision"", ""split_id"", ""subject/session/trial/window"", ""preprocessing_id"", ""model/checkpoint"", ""seed"", ""config_hash"", ""environment_id"", ""policy_mode"", ""stress_profile_id"", ""simulator_task_as_applicable""]",FOUNDATION_READY,True,"The schema/config/interface/validator foundation exists; a future phase may become technically executable only after its Protocol annex, inputs, environment, matching, and evidence conditions are frozen and accepted.","[""future phase Protocol lock"", ""upstream source/data/model artifacts"", ""exact environment/resources"", ""matched-comparison and fairness keys"", ""registered analysis contract"", ""evidence gate acceptance""]",False,False,P00 is ADMINISTRATIVE_FOUNDATION and has no active empirical ablations.,"[""Analysis R4 section 32 row A5""]",P04,"[""No empirical result"", ""No effectiveness claim"", ""Mode B engineering evidence only""]",TECHNICALLY_UNLOCKED_FOR_FUTURE_PROTOCOL
A6,IHARQ + Evidence-Quality Estimator,"[""Learned evidence quality/readiness model""]","[""L4"", ""L6""]","[""P04"", ""P06""]",IHARQ + Evidence-Quality Estimator,"[""catalogs/final_ablation_readiness_matrix.yaml"", ""manifests/ablation_readiness.yaml"", ""schemas/"", ""contracts/phases/""]","[""configs/project.yaml"", ""future Protocol annex selector required""]","[""EvidenceQualityRecord"", ""ReadinessContextRecord"", ""MatchedComparisonReport""]","[""scripts/run_phase0_final_implementation_audit.py"", ""tests/test_phase0_ablation_readiness_and_unlocks.py""]","[""Protocol v1.0 run-matrix and analysis-contract template""]","[""dataset_revision"", ""split_id"", ""subject/session/trial/window"", ""preprocessing_id"", ""model/checkpoint"", ""seed"", ""config_hash"", ""environment_id"", ""policy_mode"", ""stress_profile_id"", ""simulator_task_as_applicable""]",FOUNDATION_READY,True,"The schema/config/interface/validator foundation exists; a future phase may become technically executable only after its Protocol annex, inputs, environment, matching, and evidence conditions are frozen and accepted.","[""future phase Protocol lock"", ""upstream source/data/model artifacts"", ""exact environment/resources"", ""matched-comparison and fairness keys"", ""registered analysis contract"", ""evidence gate acceptance""]",False,False,P00 is ADMINISTRATIVE_FOUNDATION and has no active empirical ablations.,"[""Analysis R4 section 32 row A6""]",P04;P06,"[""No empirical result"", ""No effectiveness claim"", ""Mode B engineering evidence only""]",TECHNICALLY_UNLOCKED_FOR_FUTURE_PROTOCOL
A7,IHARQ + RegimeRisk Temporal Trust,"[""Temporal trust / RegimeRisk""]","[""L5""]","[""P05""]",IHARQ + RegimeRisk Temporal Trust,"[""catalogs/final_ablation_readiness_matrix.yaml"", ""manifests/ablation_readiness.yaml"", ""schemas/"", ""contracts/phases/""]","[""configs/project.yaml"", ""future Protocol annex selector required""]","[""RegimeStateRecord"", ""TemporalTrustRecord"", ""WarningRecord""]","[""scripts/run_phase0_final_implementation_audit.py"", ""tests/test_phase0_ablation_readiness_and_unlocks.py""]","[""Protocol v1.0 run-matrix and analysis-contract template""]","[""dataset_revision"", ""split_id"", ""subject/session/trial/window"", ""preprocessing_id"", ""model/checkpoint"", ""seed"", ""config_hash"", ""environment_id"", ""policy_mode"", ""stress_profile_id"", ""simulator_task_as_applicable""]",FOUNDATION_READY,True,"The schema/config/interface/validator foundation exists; a future phase may become technically executable only after its Protocol annex, inputs, environment, matching, and evidence conditions are frozen and accepted.","[""future phase Protocol lock"", ""upstream source/data/model artifacts"", ""exact environment/resources"", ""matched-comparison and fairness keys"", ""registered analysis contract"", ""evidence gate acceptance""]",False,False,P00 is ADMINISTRATIVE_FOUNDATION and has no active empirical ablations.,"[""Analysis R4 section 32 row A7""]",P05,"[""No empirical result"", ""No effectiveness claim"", ""Mode B engineering evidence only""]",TECHNICALLY_UNLOCKED_FOR_FUTURE_PROTOCOL
A8,Learning-to-Defer / Deferral Comparison,"[""Deferral/fallback policy""]","[""L4"", ""L6""]","[""P04"", ""P06""]",Learning-to-Defer / Deferral Comparison,"[""catalogs/final_ablation_readiness_matrix.yaml"", ""manifests/ablation_readiness.yaml"", ""schemas/"", ""contracts/phases/""]","[""configs/project.yaml"", ""future Protocol annex selector required""]","[""DeferralRecord"", ""PolicyActionRecord"", ""IHARQDecisionRecord""]","[""scripts/run_phase0_final_implementation_audit.py"", ""tests/test_phase0_ablation_readiness_and_unlocks.py""]","[""Protocol v1.0 run-matrix and analysis-contract template""]","[""dataset_revision"", ""split_id"", ""subject/session/trial/window"", ""preprocessing_id"", ""model/checkpoint"", ""seed"", ""config_hash"", ""environment_id"", ""policy_mode"", ""stress_profile_id"", ""simulator_task_as_applicable""]",FOUNDATION_READY,True,"The schema/config/interface/validator foundation exists; a future phase may become technically executable only after its Protocol annex, inputs, environment, matching, and evidence conditions are frozen and accepted.","[""future phase Protocol lock"", ""upstream source/data/model artifacts"", ""exact environment/resources"", ""matched-comparison and fairness keys"", ""registered analysis contract"", ""evidence gate acceptance""]",False,False,P00 is ADMINISTRATIVE_FOUNDATION and has no active empirical ablations.,"[""Analysis R4 section 32 row A8""]",P04;P06,"[""No empirical result"", ""No effectiveness claim"", ""Mode B engineering evidence only""]",TECHNICALLY_UNLOCKED_FOR_FUTURE_PROTOCOL
A9,Supervised Adaptive-IHARQ / Adaptive Readiness Policy,"[""Cost-aware policy action""]","[""L6""]","[""P06"", ""P11""]",Supervised Adaptive-IHARQ / Adaptive Readiness Policy,"[""catalogs/final_ablation_readiness_matrix.yaml"", ""manifests/ablation_readiness.yaml"", ""schemas/"", ""contracts/phases/""]","[""configs/project.yaml"", ""future Protocol annex selector required""]","[""PolicyActionRecord"", ""PolicyRecord"", ""MatchedComparisonReport""]","[""scripts/run_phase0_final_implementation_audit.py"", ""tests/test_phase0_ablation_readiness_and_unlocks.py""]","[""Protocol v1.0 run-matrix and analysis-contract template""]","[""dataset_revision"", ""split_id"", ""subject/session/trial/window"", ""preprocessing_id"", ""model/checkpoint"", ""seed"", ""config_hash"", ""environment_id"", ""policy_mode"", ""stress_profile_id"", ""simulator_task_as_applicable""]",FOUNDATION_READY,True,"The schema/config/interface/validator foundation exists; a future phase may become technically executable only after its Protocol annex, inputs, environment, matching, and evidence conditions are frozen and accepted.","[""future phase Protocol lock"", ""upstream source/data/model artifacts"", ""exact environment/resources"", ""matched-comparison and fairness keys"", ""registered analysis contract"", ""evidence gate acceptance""]",False,False,P00 is ADMINISTRATIVE_FOUNDATION and has no active empirical ablations.,"[""Analysis R4 section 32 row A9""]",P06;P11,"[""No empirical result"", ""No effectiveness claim"", ""Mode B engineering evidence only""]",TECHNICALLY_UNLOCKED_FOR_FUTURE_PROTOCOL
