path,role,selection,note
README.md,REPOSITORY_ENTRY,INCLUDE,current cumulative navigation
CURRENT_PROJECT_STATUS.json,CURRENT_STATE,INCLUDE,current completion/readiness state
final_state/through_p02/authorities/protocol_v1/IHARQ_Protocol_v1_0_Final_Through_Phase_02_R1.md,PROTOCOL,INCLUDE,canonical cumulative Protocol
final_state/through_p02/analysis/IHARQ_Cumulative_Phase_Evidence_Results_and_Interpretation_Through_P02_Final_R1.md,ANALYSIS,INCLUDE,canonical cumulative analysis
final_state/through_p02/layer0/Layer_0_Claim_Governance_Through_P02.md,CLAIM_GOVERNANCE,INCLUDE,reviewed claim boundaries
final_state/through_p02/evidence_map/IHARQ_Cumulative_Evidence_Map_Through_P02.md,EVIDENCE_MAP,INCLUDE,claim/evidence provenance
final_state/through_p02/layer10/Layer_10_Artifact_Package_Through_P02.md,LAYER10,INCLUDE,governed rendering package
artifacts/handoffs/phase_02_to_phase_03/downstream_readiness.yaml,HANDOFF,INCLUDE,P03 intake readiness
external_artifact_pointer_manifest.yaml,EXTERNAL_POINTERS,INCLUDE,immutable heavy-artifact references
history/,HISTORY,RETAIN_NOT_PRIMARY,"historical/superseded evidence retained, not current authority"
