branch_id,family_role,terminal_accounting,executed_scope,configuration_summary,a4_status,scientific_analysis_location,fulltrain_dataset_rows,low_label_rows,final_disposition,analysis_status
SAN-MAJ,sanity,3 S,FULL only; deterministic,training-frequency majority hard label; prior vector separate,No,§5/§12,0,0,SUCCESS/FAIL/SKIP/DIAGNOSTIC explicitly represented per terminal accounting,FULLY_ANALYZED
SAN-STRAT,sanity,60 S,FULL; 20 repeats/dataset,seeded stratified random using train-role frequencies,No,§5/§12,0,0,SUCCESS/FAIL/SKIP/DIAGNOSTIC explicitly represented per terminal accounting,FULLY_ANALYZED
SAN-PERM,sanity diagnostic,300 S,100 grouped permutations/dataset,group/source-event atomic full-pipeline label permutation; base simple pipeline,No,§5/§12,0,0,SUCCESS/FAIL/SKIP/DIAGNOSTIC explicitly represented per terminal accounting,FULLY_ANALYZED
SAN-PRIOR,sanity diagnostic,3 S,FULL only,training-prior probability vector,No,§5/§12,0,0,SUCCESS/FAIL/SKIP/DIAGNOSTIC explicitly represented per terminal accounting,FULLY_ANALYZED
DIAG-LOGVAR,diagnostic,3 S,FULL only,log-bandpower/log-variance + L2 logistic,No,§5/§12,0,0,SUCCESS/FAIL/SKIP/DIAGNOSTIC explicitly represented per terminal accounting,FULLY_ANALYZED
CLS-CSP-LDA,classical,18 S / 3 F,FULL + six low-label budgets; deterministic,CSP OAS; shrinkage LDA `lsqr/auto`; validation-selected CSP components 4/6/8,Yes; FULL pool + low-label,§6/§9,3,18,SUCCESS/FAIL/SKIP/DIAGNOSTIC explicitly represented per terminal accounting,FULLY_ANALYZED
CLS-FBCSP-LR,classical,3 S,FULL primary,"bands 8–12/12–16/16–20/20–24/24–28/28–32; order 4; CSP 4 OAS; L2 LR max_iter 2000; validation C in {1,10}",Yes; FULL pool,§6/§9,3,0,SUCCESS/FAIL/SKIP/DIAGNOSTIC explicitly represented per terminal accounting,FULLY_ANALYZED
RIE-TS-LR,Riemannian,21 S,FULL + six low-label budgets; deterministic,"OAS covariance -> Riemann tangent -> L2 LR max_iter 2000; validation C in {0.1,1,10}",Yes; FULL + low-label,§6/§9,3,18,SUCCESS/FAIL/SKIP/DIAGNOSTIC explicitly represented per terminal accounting,FULLY_ANALYZED
RIE-EA-TS,Riemannian,3 S,FULL admitted,"train-safe Euclidean Alignment + tangent LR; validation C observed in {0.1,1}",Yes when admitted; FULL pool,§6/§9,3,0,SUCCESS/FAIL/SKIP/DIAGNOSTIC explicitly represented per terminal accounting,FULLY_ANALYZED
RIE-MDM,Riemannian diagnostic,3 S,FULL diagnostic,"MDM/FgMDM distance-derived semantics, not calibrated probability",No,§6/§9,3,0,SUCCESS/FAIL/SKIP/DIAGNOSTIC explicitly represented per terminal accounting,FULLY_ANALYZED
DNN-EEGNET,compact neural,105 S,FULL + six low-label budgets; 5 seeds,"EEGNet/Lawhern-centered P01-compatible variant; Adam lr .001, dropout .5, kernels 40/20, pools 5/10; Stage11 mixed accepted stopping recipes",Yes; FULL + low-label,§6/§9,3,18,SUCCESS/FAIL/SKIP/DIAGNOSTIC explicitly represented per terminal accounting,FULLY_ANALYZED
DNN-FBCNET,conditional neural,15 S,FULL; 5 seeds,FBCNet author-centered: batch16 Adam .001 wd0 constant; max1500/pat200 restore-best validation BACC,Yes if admitted; FULL pool,§6/§9,3,0,SUCCESS/FAIL/SKIP/DIAGNOSTIC explicitly represented per terminal accounting,FULLY_ANALYZED
DNN-SEQ,conditional sequence,15 S,FULL; 5 seeds,DBConformer preferred admitted slot; batch32 Adam .001 wd0 constant max150/pat40 restore-best,Yes if admitted; FULL pool,§6/§9,3,0,SUCCESS/FAIL/SKIP/DIAGNOSTIC explicitly represented per terminal accounting,FULLY_ANALYZED
DNN-EGTC,fallback,15 CS,fallback slots explicit,EEG-TCNet fallback not activated because sequence slot admitted,No in accepted run,§5/§12,0,0,SUCCESS/FAIL/SKIP/DIAGNOSTIC explicitly represented per terminal accounting,FULLY_ANALYZED
SSL-CBRAMOD,compact SSL,105 S,FULL + six low-label budgets; 5 seeds,"AdamW body1e-4/head5e-4 wd.05, label smoothing .1, input scale 10000, 160→200 adapter, cosine eta_min1e-6, clip1, max150/pat40; audited checkpoint",Qualified A4; LONG fail-closed,§6/§9,3,18,SUCCESS/FAIL/SKIP/DIAGNOSTIC explicitly represented per terminal accounting,FULLY_ANALYZED
SSL-REVE,SSL diagnostic,3 DB,FULL diagnostic attempts,known P02 overlap/dependency block preserved,No,§5/§12,0,0,SUCCESS/FAIL/SKIP/DIAGNOSTIC explicitly represented per terminal accounting,FULLY_ANALYZED
