product_id,expected_P02_artifact_or_product,authority,produced,canonical,analyzed,layer0_governed,evidence_mapped,layer10_role,downstream_consumer,ready,notes
EP01,Accepted P02 run + scientific freeze,Protocol/Build Book,YES,YES,YES_OR_SUPPORT,N/A_OR_INDIRECT,YES,NO_PUBLIC_FIGURE_REQUIRED,P03+,YES,
EP02,PredictionRecord partitions,Registry/Build Book,YES,YES,YES_OR_SUPPORT,N/A_OR_INDIRECT,YES,NO_PUBLIC_FIGURE_REQUIRED,P03 L3,YES,
EP03,ModelRegistryRecord/checkpoint lineage,Registry/Build Book,YES,YES,YES_OR_SUPPORT,N/A_OR_INDIRECT,YES,NO_PUBLIC_FIGURE_REQUIRED,P03/reproduction,YES,
EP04,BaselineMetricRecord / A0,Protocol,YES,YES,YES_OR_SUPPORT,YES,YES,YES,P03/Analysis,YES,
EP05,LowCalibrationCurveRecord,Registry/Protocol,YES,YES,YES_OR_SUPPORT,N/A_OR_INDIRECT,YES,YES,Analysis/L10,YES,
EP06,SubjectProfileRecord,Registry,YES,YES,YES_OR_SUPPORT,N/A_OR_INDIRECT,YES,YES,L5/L6/L8/L10,YES,
EP07,A4 controls / EnsembleControlRecord,Protocol,YES,YES,YES_OR_SUPPORT,YES,YES,YES,L3/L4/L10,YES,
EP08,FailureCaseIndex,Registry/Protocol,YES,YES,YES_OR_SUPPORT,N/A_OR_INDIRECT,YES,YES,Analysis/L0/P03,YES,
EP09,NegativeResultNote,Registry,YES,YES,YES_OR_SUPPORT,N/A_OR_INDIRECT,YES,YES,Analysis/L0/L10,YES,
EP10,DiagnosticOnlyFlag,Registry,YES,YES,YES_OR_SUPPORT,N/A_OR_INDIRECT,YES,NO_PUBLIC_FIGURE_REQUIRED,all affected consumers,YES,
EP11,Layer2ReadinessReport,Build Book,YES,YES,YES_OR_SUPPORT,N/A_OR_INDIRECT,YES,NO_PUBLIC_FIGURE_REQUIRED,P03+,YES,
EP12,Stage11/12 amendment/rerun history,Protocol,YES,YES,YES_OR_SUPPORT,YES,YES,YES,Reproduction/Paper,YES,
EP13,Stage18/18S evidence,Protocol,YES,YES,YES_OR_SUPPORT,YES,YES,YES,Analysis/L0/EM/L10,YES,
EP14,Protocol v1 cumulative,Governance,YES,YES,YES_OR_SUPPORT,N/A_OR_INDIRECT,YES,NO_PUBLIC_FIGURE_REQUIRED,P03+,YES,
EP15,Cumulative Phase Analysis,Governance,YES,YES,YES_OR_SUPPORT,YES,YES,NO_PUBLIC_FIGURE_REQUIRED,Layer0/Paper/P03,YES,
EP16,Cumulative Layer0,Governance,YES,YES,YES_OR_SUPPORT,YES,YES,NO_PUBLIC_FIGURE_REQUIRED,EvidenceMap/Layer10,YES,
EP17,Cumulative Evidence Map,Governance,YES,YES,YES_OR_SUPPORT,YES,YES,NO_PUBLIC_FIGURE_REQUIRED,Layer10/Paper/P03,YES,
EP18,Cumulative Layer10,Governance,YES,YES,YES_OR_SUPPORT,N/A_OR_INDIRECT,YES,YES,Paper/Thesis,YES,
EP19,Analysis-input contract (38 inputs),Protocol,YES,YES,YES_OR_SUPPORT,N/A_OR_INDIRECT,YES,NO_PUBLIC_FIGURE_REQUIRED,Analysis/reproduction,YES,
EP20,External artifact access contract,Protocol,YES,YES,YES_OR_SUPPORT,N/A_OR_INDIRECT,YES,NO_PUBLIC_FIGURE_REQUIRED,P03-P15,YES,
EP21,Record schema freeze,Build Book/Registry,YES,YES,YES_OR_SUPPORT,N/A_OR_INDIRECT,YES,NO_PUBLIC_FIGURE_REQUIRED,P03+,YES,
EP22,Environment/config identity,Protocol/Build Book,YES,YES,YES_OR_SUPPORT,N/A_OR_INDIRECT,YES,NO_PUBLIC_FIGURE_REQUIRED,P03/reproduction,YES,
EP23,Stage20 readiness,Build Book,YES,YES,YES_OR_SUPPORT,N/A_OR_INDIRECT,PROVENANCE_SUPPORT,NO_PUBLIC_FIGURE_REQUIRED,P03,YES,
EP24,Stage22 handoffs,Build Book,YES,YES,YES_OR_SUPPORT,N/A_OR_INDIRECT,PROVENANCE_SUPPORT,NO_PUBLIC_FIGURE_REQUIRED,Protocol/Analysis/L0/EM/L10/P03,YES,
EP25,Stage23 evidence sufficiency,Build Book,YES,YES,YES_OR_SUPPORT,N/A_OR_INDIRECT,PROVENANCE_SUPPORT,NO_PUBLIC_FIGURE_REQUIRED,closure,YES,
EP26,Stage24 export/provenance,Build Book,YES,YES,YES_OR_SUPPORT,N/A_OR_INDIRECT,PROVENANCE_SUPPORT,NO_PUBLIC_FIGURE_REQUIRED,reproduction,YES,
EP27,Figures/tables/source data,Phase Analysis/L10,YES,YES,YES_OR_SUPPORT,YES,YES,YES,Paper/Thesis,YES,
EP28,Cumulative final producer-consumer handoff,Current closure,YES,YES,YES_OR_SUPPORT,N/A_OR_INDIRECT,YES,NO_PUBLIC_FIGURE_REQUIRED,P03+,YES,
EP29,Persistent limitation handoff,Protocol/L0,YES,YES,YES_OR_SUPPORT,YES,YES,NO_PUBLIC_FIGURE_REQUIRED,P03+,YES,
EP30,Canonical artifact index + manifests/checksums,Governance,YES,YES,YES_OR_SUPPORT,N/A_OR_INDIRECT,YES,NO_PUBLIC_FIGURE_REQUIRED,P03+/reproduction,YES,
