layer_id,official_name,phase0_role,required_foundation_capabilities,required_records_or_artifacts,required_interfaces,required_configs,required_validators_and_tests,expected_phase0_outputs,downstream_phases,completion_evidence,scientific_execution,status
L0,Claim Safety and Scope Governance,"Foundation schemas, interfaces, configs, fixtures, validators, lifecycle and future-activation readiness only","[""NegativeResultNote"", ""DiagnosticStatusRecord"", ""ClaimEvidenceMatrix"", ""Layer0DispositionRecord"", ""ClaimStatementRecord""]","[""NegativeResultNote"", ""DiagnosticStatusRecord"", ""ClaimEvidenceMatrix"", ""Layer0DispositionRecord"", ""ClaimStatementRecord""]","[""src/iharq/layer0_claim_governance""]","[""configs/layers/phase0_foundations.yaml""]","[""G-L0"", ""pytest regression""]","[""foundation package"", ""schema profiles"", ""fail-closed validators"", ""future-phase handoff""]","[""P01""]","[""src/iharq/layer0_claim_governance"", ""catalogs/final_all_layer_artifact_matrix.yaml""]",False,PASS
L1,Data and Split Protocol,"Foundation schemas, interfaces, configs, fixtures, validators, lifecycle and future-activation readiness only","[""DatasetRecord"", ""SubjectRecord"", ""SessionRecord"", ""TrialRecord"", ""WindowRecord"", ""SplitRecord"", ""PreprocessingRecord"", ""LabelMapRecord"", ""ArtifactFlagRecord"", ""ValidationReport"", ""Layer1Manifest""]","[""DatasetRecord"", ""SubjectRecord"", ""SessionRecord"", ""TrialRecord"", ""WindowRecord"", ""SplitRecord"", ""PreprocessingRecord"", ""LabelMapRecord"", ""ArtifactFlagRecord"", ""ValidationReport"", ""Layer1Manifest""]","[""src/iharq/layer1_data_protocol""]","[""configs/layers/phase0_foundations.yaml""]","[""G-L1"", ""pytest regression""]","[""foundation package"", ""schema profiles"", ""fail-closed validators"", ""future-phase handoff""]","[""P01""]","[""src/iharq/layer1_data_protocol"", ""catalogs/final_all_layer_artifact_matrix.yaml""]",False,PASS
L2,Decoder and Baseline Models,"Foundation schemas, interfaces, configs, fixtures, validators, lifecycle and future-activation readiness only","[""ModelRegistryRecord"", ""CheckpointRecord"", ""PredictionRecord"", ""BaselineMetricRecord"", ""EnsembleControlRecord"", ""DecoderProfileRecord"", ""FailureCaseIndex"", ""Layer2ReadinessReport""]","[""ModelRegistryRecord"", ""CheckpointRecord"", ""PredictionRecord"", ""BaselineMetricRecord"", ""EnsembleControlRecord"", ""DecoderProfileRecord"", ""FailureCaseIndex"", ""Layer2ReadinessReport""]","[""src/iharq/layer2_decoders""]","[""configs/layers/phase0_foundations.yaml""]","[""G-L2"", ""pytest regression""]","[""foundation package"", ""schema profiles"", ""fail-closed validators"", ""future-phase handoff""]","[""P02""]","[""src/iharq/layer2_decoders"", ""catalogs/final_all_layer_artifact_matrix.yaml""]",False,PASS
L3,"Calibration, Uncertainty, and Selective Prediction","Foundation schemas, interfaces, configs, fixtures, validators, lifecycle and future-activation readiness only","[""CalibrationRecord"", ""UncertaintyRecord"", ""SelectivePredictionRecord"", ""ThresholdRegistryRecord"", ""ReliabilityAuditReport"", ""SplitIntegrityReport"", ""LeakageWarningRecord"", ""CalibrationEligibilityTable"", ""HighConfidenceWrongTable"", ""CalibrationDashboardMetricRecord"", ""Layer3MatchedOperatingPointTable""]","[""CalibrationRecord"", ""UncertaintyRecord"", ""SelectivePredictionRecord"", ""ThresholdRegistryRecord"", ""ReliabilityAuditReport"", ""SplitIntegrityReport"", ""LeakageWarningRecord"", ""CalibrationEligibilityTable"", ""HighConfidenceWrongTable"", ""CalibrationDashboardMetricRecord"", ""Layer3MatchedOperatingPointTable""]","[""src/iharq/layer3_calibration_uncertainty""]","[""configs/layers/phase0_foundations.yaml""]","[""G-L3"", ""pytest regression""]","[""foundation package"", ""schema profiles"", ""fail-closed validators"", ""future-phase handoff""]","[""P03""]","[""src/iharq/layer3_calibration_uncertainty"", ""catalogs/final_all_layer_artifact_matrix.yaml""]",False,PASS
L4,IHARQ Evidence Verification,"Foundation schemas, interfaces, configs, fixtures, validators, lifecycle and future-activation readiness only","[""EvidenceRequestRecord"", ""EvidenceQualityRecord"", ""IHARQDecisionRecord""]","[""EvidenceRequestRecord"", ""EvidenceQualityRecord"", ""IHARQDecisionRecord""]","[""src/iharq/layer4_iharq""]","[""configs/layers/phase0_foundations.yaml""]","[""G-L4"", ""pytest regression""]","[""foundation package"", ""schema profiles"", ""fail-closed validators"", ""future-phase handoff""]","[""P04""]","[""src/iharq/layer4_iharq"", ""catalogs/final_all_layer_artifact_matrix.yaml""]",False,PASS
L5,RegimeRisk Temporal Trust,"Foundation schemas, interfaces, configs, fixtures, validators, lifecycle and future-activation readiness only","[""RegimeStateRecord"", ""TemporalTrustRecord"", ""WarningRecord""]","[""RegimeStateRecord"", ""TemporalTrustRecord"", ""WarningRecord""]","[""src/iharq/layer5_regimerisk""]","[""configs/layers/phase0_foundations.yaml""]","[""G-L5"", ""pytest regression""]","[""foundation package"", ""schema profiles"", ""fail-closed validators"", ""future-phase handoff""]","[""P05""]","[""src/iharq/layer5_regimerisk"", ""catalogs/final_all_layer_artifact_matrix.yaml""]",False,PASS
L6,Adaptive Readiness and Policy,"Foundation schemas, interfaces, configs, fixtures, validators, lifecycle and future-activation readiness only","[""ReadinessContextRecord"", ""DeferralRecord"", ""PolicyActionRecord"", ""PolicyRecord""]","[""ReadinessContextRecord"", ""DeferralRecord"", ""PolicyActionRecord"", ""PolicyRecord""]","[""src/iharq/layer6_readiness_policy""]","[""configs/layers/phase0_foundations.yaml""]","[""G-L6"", ""pytest regression""]","[""foundation package"", ""schema profiles"", ""fail-closed validators"", ""future-phase handoff""]","[""P06""]","[""src/iharq/layer6_readiness_policy"", ""catalogs/final_all_layer_artifact_matrix.yaml""]",False,PASS
L7,Closed-Loop Learning and Control,"Foundation schemas, interfaces, configs, fixtures, validators, lifecycle and future-activation readiness only","[""PolicyUpdateTrace"", ""StateRecord"", ""TransitionRecord"", ""EpisodeRecord"", ""RolloutRecord""]","[""PolicyUpdateTrace"", ""StateRecord"", ""TransitionRecord"", ""EpisodeRecord"", ""RolloutRecord""]","[""src/iharq/layer7_closed_loop""]","[""configs/layers/phase0_foundations.yaml""]","[""G-L7"", ""pytest regression""]","[""foundation package"", ""schema profiles"", ""fail-closed validators"", ""future-phase handoff""]","[""P07""]","[""src/iharq/layer7_closed_loop"", ""catalogs/final_all_layer_artifact_matrix.yaml""]",False,PASS
L8,StressForge Controlled Stress,"Foundation schemas, interfaces, configs, fixtures, validators, lifecycle and future-activation readiness only","[""StressProfileRecord"", ""StressApplicationRecord"", ""MatchedStressPairRecord""]","[""StressProfileRecord"", ""StressApplicationRecord"", ""MatchedStressPairRecord""]","[""src/iharq/layer8_stressforge""]","[""configs/layers/phase0_foundations.yaml""]","[""G-L8"", ""pytest regression""]","[""foundation package"", ""schema profiles"", ""fail-closed validators"", ""future-phase handoff""]","[""P08""]","[""src/iharq/layer8_stressforge"", ""catalogs/final_all_layer_artifact_matrix.yaml""]",False,PASS
L9,Embodiment Proxy and Simulation,"Foundation schemas, interfaces, configs, fixtures, validators, lifecycle and future-activation readiness only","[""EmbodimentStateRecord"", ""EmbodimentOutcomeRecord"", ""SafetyEventRecord"", ""Layer9RewardTrace"", ""Layer9EmbodimentDemoManifest""]","[""EmbodimentStateRecord"", ""EmbodimentOutcomeRecord"", ""SafetyEventRecord"", ""Layer9RewardTrace"", ""Layer9EmbodimentDemoManifest""]","[""src/iharq/layer9_embodiment""]","[""configs/layers/phase0_foundations.yaml""]","[""G-L9"", ""pytest regression""]","[""foundation package"", ""schema profiles"", ""fail-closed validators"", ""future-phase handoff""]","[""P09""]","[""src/iharq/layer9_embodiment"", ""catalogs/final_all_layer_artifact_matrix.yaml""]",False,PASS
