output_id,official_or_local_name,canonical_type_or_profile,governing_sources,producer,consumers,required_format,required_path_or_path_class,required_fields_or_contents,required_status_and_lifecycle,required_validator_or_test,required_manifest_or_hash,required_report_location,observed_path,observed_identity,observed_hash,observed_validation,closure_status,defect_or_limitation_id
OUT-001,Repository skeleton,directory,GOV-V4;ARCH-T29-R1;PLAN-R41;PLAY-R41,P00 lawful owner,P01-P15;publication/closure,directory,.,nonempty;traceable;validated,CURRENT_VALIDATED or lawfully deferred,independent double-check suite,required for current artifacts,independent executive report,.,Repository skeleton,9323691608769f4749405dfd9e8f3ddb19fd8471d5ea90ffa4474a9ba7e4c123,directory content hash; registered; tested,CREATED_AND_VALIDATED,
OUT-002,Source modules,python package,GOV-V4;ARCH-T29-R1;PLAN-R41;PLAY-R41,P00 lawful owner,P01-P15;publication/closure,python package,src/iharq,nonempty;traceable;validated,CURRENT_VALIDATED or lawfully deferred,independent double-check suite,required for current artifacts,independent executive report,src/iharq,Source modules,ea3dedc9af7411c1544820f23d36c4cc99c1270ca6dde00428dffa8a6ad6938f,directory content hash; registered; tested,CREATED_AND_VALIDATED,
OUT-003,Schema catalog,yaml,GOV-V4;ARCH-T29-R1;PLAN-R41;PLAY-R41,P00 lawful owner,P01-P15;publication/closure,yaml,catalogs/final_schema_catalog.yaml,nonempty;traceable;validated,CURRENT_VALIDATED or lawfully deferred,independent double-check suite,required for current artifacts,independent executive report,catalogs/final_schema_catalog.yaml,Schema catalog,d9daa156b47450212ee4c0c6b8fb99113123240f496d77a291c7153d965ded21,present; nonempty; registered; tested,CREATED_AND_VALIDATED,
OUT-004,85 schema files,json schema,GOV-V4;ARCH-T29-R1;PLAN-R41;PLAY-R41,P00 lawful owner,P01-P15;publication/closure,json schema,schemas,nonempty;traceable;validated,CURRENT_VALIDATED or lawfully deferred,independent double-check suite,required for current artifacts,independent executive report,schemas,85 schema files,d6117841448516117d961a53ea2b7d57902b107e61e813d684b67ca29826f42b,directory content hash; registered; tested,CREATED_AND_VALIDATED,
OUT-005,35 configuration profiles,yaml,GOV-V4;ARCH-T29-R1;PLAN-R41;PLAY-R41,P00 lawful owner,P01-P15;publication/closure,yaml,configs,nonempty;traceable;validated,CURRENT_VALIDATED or lawfully deferred,independent double-check suite,required for current artifacts,independent executive report,configs,35 configuration profiles,99f9b23c16980c24573b6271a174b905511df0c41a581253c9cbf87626e78055,directory content hash; registered; tested,CREATED_AND_VALIDATED,
OUT-006,79 record-family profiles,yaml,GOV-V4;ARCH-T29-R1;PLAN-R41;PLAY-R41,P00 lawful owner,P01-P15;publication/closure,yaml,catalogs/final_record_family_coverage_matrix.yaml,nonempty;traceable;validated,CURRENT_VALIDATED or lawfully deferred,independent double-check suite,required for current artifacts,independent executive report,catalogs/final_record_family_coverage_matrix.yaml,79 record-family profiles,417195626d6ddd0605ea68ac8046deeded22b7e56b4cce006544db8631de258c,present; nonempty; registered; tested,CREATED_AND_VALIDATED,
OUT-007,P00-P15 phase contracts,yaml,GOV-V4;ARCH-T29-R1;PLAN-R41;PLAY-R41,P00 lawful owner,P01-P15;publication/closure,yaml,contracts/phases,nonempty;traceable;validated,CURRENT_VALIDATED or lawfully deferred,independent double-check suite,required for current artifacts,independent executive report,contracts/phases,P00-P15 phase contracts,374d35778b57391279c7640de25a3751867281f1501d2f35bbcba8875ae9e5fe,directory content hash; registered; tested,CREATED_AND_VALIDATED,
OUT-008,L0-L10 foundation matrix,yaml,GOV-V4;ARCH-T29-R1;PLAN-R41;PLAY-R41,P00 lawful owner,P01-P15;publication/closure,yaml,catalogs/final_all_layer_artifact_matrix.yaml,nonempty;traceable;validated,CURRENT_VALIDATED or lawfully deferred,independent double-check suite,required for current artifacts,independent executive report,catalogs/final_all_layer_artifact_matrix.yaml,L0-L10 foundation matrix,afe7d0fb5ee7099fa54c9e04fcc81bbd9d29c4f833482204f885f26e5cb8c70e,present; nonempty; registered; tested,CREATED_AND_VALIDATED,
OUT-009,Stable identity and canonical hashing implementation,python,GOV-V4;ARCH-T29-R1;PLAN-R41;PLAY-R41,P00 lawful owner,P01-P15;publication/closure,python,src/iharq/canonical.py,nonempty;traceable;validated,CURRENT_VALIDATED or lawfully deferred,independent double-check suite,required for current artifacts,independent executive report,src/iharq/canonical.py,Stable identity and canonical hashing implementation,3471db07e717be1b17cbd84153e1262f0610671d8f3a3c69126a0e0a47a1b75c,present; nonempty; registered; tested,CREATED_AND_VALIDATED,
OUT-010,Valid fixture inventory,json,GOV-V4;ARCH-T29-R1;PLAN-R41;PLAY-R41,P00 lawful owner,P01-P15;publication/closure,json,fixtures/valid,nonempty;traceable;validated,CURRENT_VALIDATED or lawfully deferred,independent double-check suite,required for current artifacts,independent executive report,fixtures/valid,Valid fixture inventory,3c2ff59d532936414f0e037b9dec3dd97535092599b433e994e796d7ae3e0e24,directory content hash; registered; tested,CREATED_AND_VALIDATED,
OUT-011,Integrated fixture inventory,json,GOV-V4;ARCH-T29-R1;PLAN-R41;PLAY-R41,P00 lawful owner,P01-P15;publication/closure,json,fixtures/integrated,nonempty;traceable;validated,CURRENT_VALIDATED or lawfully deferred,independent double-check suite,required for current artifacts,independent executive report,fixtures/integrated,Integrated fixture inventory,ca50ac8ef4694e431a147a7394edc92d81beea2d9e287cfe93994186e16ca1c3,directory content hash; registered; tested,CREATED_AND_VALIDATED,
OUT-012,Malformed fixture inventory,json,GOV-V4;ARCH-T29-R1;PLAN-R41;PLAY-R41,P00 lawful owner,P01-P15;publication/closure,json,fixtures/invalid,nonempty;traceable;validated,CURRENT_VALIDATED or lawfully deferred,independent double-check suite,required for current artifacts,independent executive report,fixtures/invalid,Malformed fixture inventory,19da55a8867603aac74e2248882754a071598cff72da8f0d542200923b3d4ce7,directory content hash; registered; tested,CREATED_AND_VALIDATED,
OUT-013,Deterministic tests,python,GOV-V4;ARCH-T29-R1;PLAN-R41;PLAY-R41,P00 lawful owner,P01-P15;publication/closure,python,tests,nonempty;traceable;validated,CURRENT_VALIDATED or lawfully deferred,independent double-check suite,required for current artifacts,independent executive report,tests,Deterministic tests,54460125635b24b132f51ba9e8eefbccc3c0b9265ccdf6cbb1b4f236fa9d6d3c,directory content hash; registered; tested,CREATED_AND_VALIDATED,
OUT-014,Protocol v1.0 Master,markdown,GOV-V4;ARCH-T29-R1;PLAN-R41;PLAY-R41,P00 lawful owner,P01-P15;publication/closure,markdown,docs/authorities/protocol_v1_0/master/IHARQ_Protocol_v1_0_Master_R2.md,nonempty;traceable;validated,CURRENT_VALIDATED or lawfully deferred,independent double-check suite,required for current artifacts,independent executive report,docs/authorities/protocol_v1_0/master/IHARQ_Protocol_v1_0_Master_R2.md,Protocol v1.0 Master,938fcaab2be30d2e59ccc5082a9c3cc6c2ccc3e8889b352099aa514b96e046d4,present; nonempty; registered; tested,CREATED_AND_VALIDATED,
OUT-015,P00 Protocol Annex,markdown,GOV-V4;ARCH-T29-R1;PLAN-R41;PLAY-R41,P00 lawful owner,P01-P15;publication/closure,markdown,docs/authorities/protocol_v1_0/phases/P00/IHARQ_Protocol_v1_0_Phase_00_Annex_R2.md,nonempty;traceable;validated,CURRENT_VALIDATED or lawfully deferred,independent double-check suite,required for current artifacts,independent executive report,docs/authorities/protocol_v1_0/phases/P00/IHARQ_Protocol_v1_0_Phase_00_Annex_R2.md,P00 Protocol Annex,a0dbabfc1c5be739955696f8b5d32d9cdbdedf563a1c9225d9767599bbfbd7b5,present; nonempty; registered; tested,CREATED_AND_VALIDATED,
OUT-016,Protocol final independent audit,markdown,GOV-V4;ARCH-T29-R1;PLAN-R41;PLAY-R41,P00 lawful owner,P01-P15;publication/closure,markdown,docs/authorities/protocol_v1_0/final_independent_audit_R2/reports/IHARQ_Protocol_v1_0_Final_Independent_Audit_Report_R2.md,nonempty;traceable;validated,CURRENT_VALIDATED or lawfully deferred,independent double-check suite,required for current artifacts,independent executive report,docs/authorities/protocol_v1_0/final_independent_audit_R2/reports/IHARQ_Protocol_v1_0_Final_Independent_Audit_Report_R2.md,Protocol final independent audit,43ad5b04ac5aff825cf30ed36ae8a8f8ed636f0ff5a3a51a5717a5a04ea29ff7,present; nonempty; registered; tested,CREATED_AND_VALIDATED,
OUT-017,P00 execution release,directory,GOV-V4;ARCH-T29-R1;PLAN-R41;PLAY-R41,P00 lawful owner,P01-P15;publication/closure,directory,reports/phase_00_analysis/execution_release_R2,nonempty;traceable;validated,CURRENT_VALIDATED or lawfully deferred,independent double-check suite,required for current artifacts,independent executive report,reports/phase_00_analysis/execution_release_R2,P00 execution release,915d08a2812c7db18e5c2793e37fd7ea95ba21034ecc5be7fe92b0375b321959,directory content hash; registered; tested,CREATED_AND_VALIDATED,
OUT-018,Phase Analysis report completeness successor,markdown,GOV-V4;ARCH-T29-R1;PLAN-R41;PLAY-R41,P00 lawful owner,P01-P15;publication/closure,markdown,docs/reports/phase_00/IHARQ_Phase_0_Analysis_Evidence_Results_and_Interpretation_Report_R4_FINAL_DOUBLE_CHECK_COMPLETENESS.md,nonempty;traceable;validated,CURRENT_VALIDATED or lawfully deferred,independent double-check suite,required for current artifacts,independent executive report,docs/reports/phase_00/IHARQ_Phase_0_Analysis_Evidence_Results_and_Interpretation_Report_R4_FINAL_DOUBLE_CHECK_COMPLETENESS.md,Phase Analysis report completeness successor,05cfa89ff5506393607346165216a9d5b39d2c621b4f04c0d7787365b159f67f,present; nonempty; registered; tested,CREATED_AND_VALIDATED,
OUT-019,Phase Analysis completeness audit,markdown,GOV-V4;ARCH-T29-R1;PLAN-R41;PLAY-R41,P00 lawful owner,P01-P15;publication/closure,markdown,docs/reports/phase_00/IHARQ_Phase_0_Analysis_Completeness_Independent_Audit_Report_R3.md,nonempty;traceable;validated,CURRENT_VALIDATED or lawfully deferred,independent double-check suite,required for current artifacts,independent executive report,docs/reports/phase_00/IHARQ_Phase_0_Analysis_Completeness_Independent_Audit_Report_R3.md,Phase Analysis completeness audit,c2e6849020fb308c18ade1ef8a68aa438fbaa297fd592432cc6299ca9ef73f99,present; nonempty; registered; tested,CREATED_AND_VALIDATED,
