requirement_id,source_authority,scientific_question,expected_execution,expected_artifact,expected_evidence,expected_metric,expected_comparison,expected_analysis,expected_interpretation_role,present_in_execution,present_in_phase_analysis,analysis_depth,finalization_status
REQ-GOV-01,Governance V6.1,single-track phase workflow,Build Book traceability row; gate G24; expected output execution bundle,Build Book traceability row; gate G24; expected output execution bundle,Build Book traceability row; gate G24; expected output execution bundle,as applicable,as applicable,§2 analytical contract; §5 execution evolution; appendices,P02 scientific analysis / context as applicable,True,True,NOT_APPLICABLE,NOT_APPLICABLE
REQ-GOV-02,Governance V6.1,one-notebook default,Build Book traceability row; gate G05; expected output notebook stage manifest,Build Book traceability row; gate G05; expected output notebook stage manifest,Build Book traceability row; gate G05; expected output notebook stage manifest,as applicable,as applicable,§2 analytical contract; §5 execution evolution; appendices,P02 scientific analysis / context as applicable,True,True,NOT_APPLICABLE,NOT_APPLICABLE
REQ-GOV-03,Governance V6.1,scope non-reduction,Build Book traceability row; gate G05; expected output run/attempt ledger,Build Book traceability row; gate G05; expected output run/attempt ledger,Build Book traceability row; gate G05; expected output run/attempt ledger,as applicable,as applicable,§2 analytical contract; §5 execution evolution; appendices,P02 scientific analysis / context as applicable,True,True,NOT_APPLICABLE,NOT_APPLICABLE
REQ-GOV-04,Governance V6.1,evidence-insufficiency loopback,Build Book traceability row; gate G23; expected output repair/reentry record,Build Book traceability row; gate G23; expected output repair/reentry record,Build Book traceability row; gate G23; expected output repair/reentry record,as applicable,as applicable,§2 analytical contract; §5 execution evolution; appendices,P02 scientific analysis / context as applicable,True,True,NOT_APPLICABLE,NOT_APPLICABLE
REQ-GOV-05,Governance V6.1,cumulative reuse-first,Build Book traceability row; gate G04; expected output input validation report,Build Book traceability row; gate G04; expected output input validation report,Build Book traceability row; gate G04; expected output input validation report,as applicable,as applicable,§2 analytical contract; §5 execution evolution; appendices,P02 scientific analysis / context as applicable,True,True,NOT_APPLICABLE,NOT_APPLICABLE
REQ-GOV-06,Governance V6.1,full ablation coverage,Build Book traceability row; gate G18U; expected output ablation ledger/evidence,Build Book traceability row; gate G18U; expected output ablation ledger/evidence,Build Book traceability row; gate G18U; expected output ablation ledger/evidence,as applicable,as applicable,§2 analytical contract; §5 execution evolution; appendices,P02 scientific analysis / context as applicable,True,True,NOT_APPLICABLE,NOT_APPLICABLE
REQ-GOV-07,Governance V6.1,negative evidence preservation,Build Book traceability row; gate G19; expected output FailureCaseIndex/NegativeResultNote,Build Book traceability row; gate G19; expected output FailureCaseIndex/NegativeResultNote,Build Book traceability row; gate G19; expected output FailureCaseIndex/NegativeResultNote,as applicable,as applicable,§12 Failures/negative/diagnostics,P02 scientific analysis / context as applicable,True,True,FULLY_ANALYZED,FULLY_ANALYZED
REQ-PSTATE-01,Cumulative P00/P01 handoff,P02 entry readiness,Build Book traceability row; gate G00; expected output entry validation,Build Book traceability row; gate G00; expected output entry validation,Build Book traceability row; gate G00; expected output entry validation,as applicable,as applicable,§22-26 downstream handoffs,P02 scientific analysis / context as applicable,True,True,FULLY_ANALYZED,FULLY_ANALYZED
REQ-PSTATE-02,Cumulative P00/P01 handoff,P01 scientific immutability,Build Book traceability row; gate G04; expected output input integrity audit,Build Book traceability row; gate G04; expected output input integrity audit,Build Book traceability row; gate G04; expected output input integrity audit,as applicable,as applicable,§22-26 downstream handoffs,P02 scientific analysis / context as applicable,True,True,FULLY_ANALYZED,FULLY_ANALYZED
REQ-PSTATE-03,Cumulative P00/P01 handoff,external artifact integrity,Build Book traceability row; gate G03; expected output external pointer validation,Build Book traceability row; gate G03; expected output external pointer validation,Build Book traceability row; gate G03; expected output external pointer validation,as applicable,as applicable,§22-26 downstream handoffs,P02 scientific analysis / context as applicable,True,True,FULLY_ANALYZED,FULLY_ANALYZED
