record_type,stage_or_supplement_id,attempt_id,status,observability_status,purpose,runtime_successor_id,evidentiary_role,scientifically_analytical,evidence_produced,analysis_treatment,finalization_status
CANONICAL_STAGE,00,634837763ab9,SUCCESS,PASS,authority identity and notebook/build-book/freeze preflight,,CANONICAL_EXECUTION_HISTORY,False,see purpose / canonical stage artifacts,§5 execution evolution / appendix stage index,FULLY_ANALYZED
CANONICAL_STAGE,01,d4ab0101ea08,SUCCESS,PASS,"environment, resource, and credential interface preflight",,CANONICAL_EXECUTION_HISTORY,False,see purpose / canonical stage artifacts,§5 execution evolution / appendix stage index,FULLY_ANALYZED
CANONICAL_STAGE,02,c87fadef7bcd,SUCCESS,PASS,cumulative prior-state resolution,,CANONICAL_EXECUTION_HISTORY,False,see purpose / canonical stage artifacts,§5 execution evolution / appendix stage index,FULLY_ANALYZED
CANONICAL_STAGE,03,5b6834384730,SUCCESS,PASS,external/local pointer resolution,,CANONICAL_EXECUTION_HISTORY,False,see purpose / canonical stage artifacts,§5 execution evolution / appendix stage index,FULLY_ANALYZED
CANONICAL_STAGE,04,3ec63b778b7d,SUCCESS,PASS,P01 frozen-input validation and immutability checks,,CANONICAL_EXECUTION_HISTORY,False,see purpose / canonical stage artifacts,§5 execution evolution / appendix stage index,FULLY_ANALYZED
CANONICAL_STAGE,05,39df114163ce,SUCCESS,PASS,"scientific freeze, run-cell routing, and training-policy declarations",,CANONICAL_EXECUTION_HISTORY,False,see purpose / canonical stage artifacts,§5 execution evolution / appendix stage index,FULLY_ANALYZED
CANONICAL_STAGE,06,879c816b6a5b,SUCCESS,PASS,schema/config import and clean-process validation,,CANONICAL_EXECUTION_HISTORY,False,see purpose / canonical stage artifacts,§5 execution evolution / appendix stage index,FULLY_ANALYZED
CANONICAL_STAGE,07,f96233a7477e,SUCCESS,PASS,"data-loader, label, denominator, split, and leakage contract validation",,CANONICAL_EXECUTION_HISTORY,False,see purpose / canonical stage artifacts,§5 execution evolution / appendix stage index,FULLY_ANALYZED
CANONICAL_STAGE,08,83b1345dfb42,SUCCESS,PASS,sanity and diagnostic family execution,P02-RUNTIME-SUCCESSOR-R1-CLASS-WEIGHT-APPLICABILITY-LIVE-CONTINUATION,CANONICAL_EXECUTION_HISTORY,True,see purpose / canonical stage artifacts,§5 execution evolution + §6/§9 scientific consequences,FULLY_ANALYZED
CANONICAL_STAGE,09,c31206f11c83,SUCCESS,PASS,"classical decoder family execution (CSP-LDA, FBCSP-LR)",P02-RUNTIME-SUCCESSOR-R2-CANONICAL-LOW-CAL-BUDGET-ID-PARSER-LIVE-CONTINUATION,CANONICAL_EXECUTION_HISTORY,True,see purpose / canonical stage artifacts,§5 execution evolution + §6/§9 scientific consequences,FULLY_ANALYZED
