source_id,title_or_path,revision,sha256,status,analysis_role
GOV-V4,docs/authorities/00_governance/Document_Stack_Governance_and_Creation_Guide_V4.md,V4,81092849f03dfe2bc31b63dd3aeeac47b741860bedf8baa4d2f915b7bcc18c26,CURRENT,workflow/governance
ARCH,docs/authorities/01_architecture/Master_Architecture_Specification_T29_R1.pdf,T29-R1,ae374c9de061bc5179c9223e7d646c70cf0d98c414007ab6baf95cd68c814f9b,CURRENT,system identities/boundaries
REG,docs/authorities/02_registry/Canonical_Registry_R44.md,R44,bdb309f76b9b525ea89cfa56c79a9b7989348e3509febac9ae9fffe7858d1f87,CURRENT,canonical records/lifecycle
PLAN,docs/authorities/03_execution_plan/Execution_and_Evidence_Plan_R41.md,R41,f31de3453b331d909a8cccbf951a2df61ef7ca38b71df4bde8be95040095da82,CURRENT,phase evidence/gates
PROT0,docs/authorities/04_protocol_v0_1/Protocol_v0_1_R42.md,R42,8b7a393b860bd49a34a794db5c2b80af7f127bc318a112bc7ed3c375ce704813,CURRENT,A0-A13/matching/leakage
PLAY,docs/authorities/05_phase_playbook/Complete_Phase_Execution_Playbook_R41.md,R41,176f46950b86db8cd5c23789893955336c818a6fcd10ed36d6c66e096faccc87,CURRENT,phase ordering/handoffs
MSEL,docs/authorities/06_method_selection/Method_Selection_L0_to_L10_R2.md,R2,b036b02ac65b3bc2595513f4ca8a8137a6273f914e46e1cf6180515e57726749,CURRENT,selected methods
NB,docs/authorities/07_nuts_and_bolts/Nuts_and_Bolts_L0_to_L10_R2.md,R2,4f47c6f511e646b2127cc79f14a5f632b00f5112582a049b46c735e78ded638c,CURRENT,technical invariants/failure behavior
IBB-R4,docs/authorities/IHARQ_Master_Implementation_Build_Book_R4_Phase_0_Integrated_FINAL.md,R4,4a121fd16550bf2c748b5aa1f064b3b997b35c633d745e9a587e09282d270c87,CURRENT,current implementation authority
PV1-MASTER-R2,docs/authorities/protocol_v1_0/master/IHARQ_Protocol_v1_0_Master_R2.md,1.0-R2,938fcaab2be30d2e59ccc5082a9c3cc6c2ccc3e8889b352099aa514b96e046d4,CURRENT,registered global contract
PV1-P00-R2,docs/authorities/protocol_v1_0/phases/P00/IHARQ_Protocol_v1_0_Phase_00_Annex_R2.md,1.0-R2,a0dbabfc1c5be739955696f8b5d32d9cdbdedf563a1c9225d9767599bbfbd7b5,CURRENT,registered P00 contract
PV1-FINAL-AUDIT-R2,reports/protocol_v1/phase_0_protocol_v1_final_audit_handoff_R2.yaml,R2,223fec76a2916a3132b5640c43475669840a9a8ceafe74184d185ef39da16551,CURRENT,final Protocol audit handoff
P00-ANALYSIS-TEMPLATE-R3,docs/templates/IHARQ_Phase_0_Analysis_Evidence_Results_and_Interpretation_Report_Template_R3_FINAL.md,R3,4b9fa03e58018d6b99ffb352975075b928dd8b39643a406748f6bbf4e76ebedc,CURRENT,report structure
P00-ANALYSIS-PROMPT-R1,docs/prompts/IHARQ_Phase_0_Analysis_and_Report_Creation_Master_Prompt_R1.md,R1,0187b28dca6e5e1507733b1b720d59fd5069ba1a7c7dba4a60a4f0eb4f607e00,CURRENT,analysis execution contract
P00-ANALYSIS-FINAL-AUDIT-PROMPT-R1,docs/prompts/IHARQ_Phase_0_Analysis_and_Report_Final_Independent_Double_Check_Prompt_R1.md,R1,897c6d900e3d4548f1e330983875286f8aadfeb691e1819cb6ac6a1a65b281f5,CURRENT,final independent audit/repair/freeze contract
