ablation_id,phase_owner,p02_responsibility,implementation,run_cells,kaggle_stage,metrics,outputs,validation,downstream,status
A0,Layer 2 / P02,FULL_EXECUTION_REQUIRED_IN_P02,p02_full_ablation_execution_contract_R3.yaml,p02_full_ablation_planned_run_cells_R3.*,15,p02_metric_dictionary.yaml + R3 frozen statistics,complete prediction/control/metric/failure/figure/table/analysis-source evidence,T-A0-FULL-02/G15,Protocol/Analysis/Layer0/EvidenceMap/Layer10/P03,MAPPED
A1,Layer 3 / P03,DOWNSTREAM_PHASE_RESPONSIBILITY,preserve upstream inputs/foreign keys/scores/readiness only,no P02 confirmatory cells,readiness/handoff only,no downstream confirmatory metric in P02,PredictionRecord/lineage/readiness substrate as applicable,T-ABL-OWN-02/G05/G20,Layer 3 / P03,MAPPED
A2,Layer 3 / P03,DOWNSTREAM_PHASE_RESPONSIBILITY,preserve upstream inputs/foreign keys/scores/readiness only,no P02 confirmatory cells,readiness/handoff only,no downstream confirmatory metric in P02,PredictionRecord/lineage/readiness substrate as applicable,T-ABL-OWN-02/G05/G20,Layer 3 / P03,MAPPED
A3,Layer 3 / P03,DOWNSTREAM_PHASE_RESPONSIBILITY,preserve upstream inputs/foreign keys/scores/readiness only,no P02 confirmatory cells,readiness/handoff only,no downstream confirmatory metric in P02,PredictionRecord/lineage/readiness substrate as applicable,T-ABL-OWN-02/G05/G20,Layer 3 / P03,MAPPED
A4,Layer 2 / P02,FULL_EXECUTION_REQUIRED_IN_P02,p02_full_ablation_execution_contract_R3.yaml,p02_full_ablation_planned_run_cells_R3.*,18,p02_metric_dictionary.yaml + R3 frozen statistics,complete prediction/control/metric/failure/figure/table/analysis-source evidence,T-A4-FULL-02/G18,Protocol/Analysis/Layer0/EvidenceMap/Layer10/P03,MAPPED
A5,downstream layer/phase owner,DOWNSTREAM_PHASE_RESPONSIBILITY,preserve upstream inputs/foreign keys/scores/readiness only,no P02 confirmatory cells,readiness/handoff only,no downstream confirmatory metric in P02,PredictionRecord/lineage/readiness substrate as applicable,T-ABL-OWN-02/G05/G20,downstream layer/phase owner,MAPPED
A6,downstream layer/phase owner,DOWNSTREAM_PHASE_RESPONSIBILITY,preserve upstream inputs/foreign keys/scores/readiness only,no P02 confirmatory cells,readiness/handoff only,no downstream confirmatory metric in P02,PredictionRecord/lineage/readiness substrate as applicable,T-ABL-OWN-02/G05/G20,downstream layer/phase owner,MAPPED
A7,downstream layer/phase owner,DOWNSTREAM_PHASE_RESPONSIBILITY,preserve upstream inputs/foreign keys/scores/readiness only,no P02 confirmatory cells,readiness/handoff only,no downstream confirmatory metric in P02,PredictionRecord/lineage/readiness substrate as applicable,T-ABL-OWN-02/G05/G20,downstream layer/phase owner,MAPPED
A8,downstream layer/phase owner,DOWNSTREAM_PHASE_RESPONSIBILITY,preserve upstream inputs/foreign keys/scores/readiness only,no P02 confirmatory cells,readiness/handoff only,no downstream confirmatory metric in P02,PredictionRecord/lineage/readiness substrate as applicable,T-ABL-OWN-02/G05/G20,downstream layer/phase owner,MAPPED
A9,downstream layer/phase owner,DOWNSTREAM_PHASE_RESPONSIBILITY,preserve upstream inputs/foreign keys/scores/readiness only,no P02 confirmatory cells,readiness/handoff only,no downstream confirmatory metric in P02,PredictionRecord/lineage/readiness substrate as applicable,T-ABL-OWN-02/G05/G20,downstream layer/phase owner,MAPPED
A10,downstream layer/phase owner,DOWNSTREAM_PHASE_RESPONSIBILITY,preserve upstream inputs/foreign keys/scores/readiness only,no P02 confirmatory cells,readiness/handoff only,no downstream confirmatory metric in P02,PredictionRecord/lineage/readiness substrate as applicable,T-ABL-OWN-02/G05/G20,downstream layer/phase owner,MAPPED
A11,downstream layer/phase owner,DOWNSTREAM_PHASE_RESPONSIBILITY,preserve upstream inputs/foreign keys/scores/readiness only,no P02 confirmatory cells,readiness/handoff only,no downstream confirmatory metric in P02,PredictionRecord/lineage/readiness substrate as applicable,T-ABL-OWN-02/G05/G20,downstream layer/phase owner,MAPPED
A12,downstream layer/phase owner,DOWNSTREAM_PHASE_RESPONSIBILITY,preserve upstream inputs/foreign keys/scores/readiness only,no P02 confirmatory cells,readiness/handoff only,no downstream confirmatory metric in P02,PredictionRecord/lineage/readiness substrate as applicable,T-ABL-OWN-02/G05/G20,downstream layer/phase owner,MAPPED
A13,downstream layer/phase owner,DOWNSTREAM_PHASE_RESPONSIBILITY,preserve upstream inputs/foreign keys/scores/readiness only,no P02 confirmatory cells,readiness/handoff only,no downstream confirmatory metric in P02,PredictionRecord/lineage/readiness substrate as applicable,T-ABL-OWN-02/G05/G20,downstream layer/phase owner,MAPPED
A14,PROHIBITED,ABSENT_PROHIBITED,none,none,none,none,prohibition evidence only,T-ABL-OWN-02/G05,none,MAPPED
