closure_item_id,phase,layer,authority_source,expected_product_or_obligation,producer,consumer,expected_artifact,actual_artifact,scientific_role,analysis_role,claim_role,evidence_map_role,layer10_role,downstream_role,status,defect_if_any,correction_required
C001,P00-P02,project,Governance + Protocol,Single cumulative Protocol authority,Protocol,P03+,authorities/protocol_v1/IHARQ_Protocol_v1_0_Final_Through_Phase_02_R1.md,authorities/protocol_v1/IHARQ_Protocol_v1_0_Final_Through_Phase_02_R1.md,execution/analysis authority,analysis boundary,claim ceiling,protocol identities,scope authority,phase intake,COMPLETE,,
C002,P00-P02,project,Phase Analysis lifecycle,Cumulative scientific analysis,Analysis,Layer0/Paper/P03,analysis/IHARQ_Cumulative_Phase_Evidence_Results_and_Interpretation_Through_P02_Final_R1.md,analysis/IHARQ_Cumulative_Phase_Evidence_Results_and_Interpretation_Through_P02_Final_R1.md,scientific memory,primary analysis,candidate claims,findings source,figure/table interpretation,paper/phase context,COMPLETE,,
C003,P00-P02,L0,Governance,Cumulative claim governance,Layer0,EvidenceMap/Layer10,layer0/Layer_0_Claim_Governance_Through_P02.md,layer0/Layer_0_Claim_Governance_Through_P02.md,claim safety,claim review,governed dispositions,claim root,caption ceiling,all consumers,COMPLETE,,
C004,P00-P02,EvidenceMap,Governance,Cumulative provenance graph,EvidenceMap,Layer10/Paper/P03,evidence_map/evidence_map.yaml,evidence_map/evidence_map.yaml,traceability,evidence linking,claim support,primary graph,render source,all consumers,COMPLETE,,
C005,P00-P02,L10,Governance,Cumulative reproducible presentation,Layer10,Paper/Thesis,layer10/Layer_10_Artifact_Package_Through_P02.md,layer10/Layer_10_Artifact_Package_Through_P02.md,presentation,no new analysis,Layer0-bounded,mapped artifacts,primary role,publication,COMPLETE,,
C006,P02,L2,Build Book + Protocol,PredictionRecord substrate,P02 L2,P03 L3,execution/runtime/manifests/record_partitions/PredictionRecord,execution/runtime/manifests/record_partitions/PredictionRecord,raw prediction substrate,analysis source,non-claim data,evidence nodes,source data where used,calibration/uncertainty,COMPLETE,,
C007,P02,L2,Build Book + Protocol,ModelRegistryRecord and checkpoint lineage,P02 L2,P03/reproduction,execution/runtime/manifests/record_partitions/ModelRegistryRecord,execution/runtime/manifests/record_partitions/ModelRegistryRecord,model lineage,model identity,non-claim data,artifact provenance,source identity,P03 model metadata,COMPLETE,,
C008,P02,L2,Build Book + Protocol,P03 consumer readiness report,P02 L2,P03,execution/runtime/records/Layer2ReadinessReport/dataset=ALL/branch=READINESS/budget=ALL/P02-L2-READINESS-P03.jsonl,execution/runtime/records/Layer2ReadinessReport/dataset=ALL/branch=READINESS/budget=ALL/P02-L2-READINESS-P03.jsonl,readiness,not analysis,non-claim,readiness evidence,not presentation-critical,P03 gate input,COMPLETE,,
C009,P02,L2,Protocol,A0 evidence and statistics,P02 L2,Analysis/L0/EM/L10/P03,execution/runtime/analysis_inputs/a0_completion.json,execution/runtime/analysis_inputs/a0_completion.json,baseline decoder evidence,primary result,qualified claims,A0 mapping,A0 figures/tables,baseline context,COMPLETE,,
C010,P02,L2,Protocol,A4 evidence/controls/resource deviation,P02 L2,Analysis/L0/EM/L10,execution/runtime/analysis_inputs/a4_completion.json,execution/runtime/analysis_inputs/a4_completion.json,ablation evidence,primary ablation,bounded claims,A4 mapping,A4 views,future context,COMPLETE,,
