budget_id,budget_per_class,source_role,event_count,status
BNCI2014_001:budget-1-seed-20260804,1,calibration,2,PASS
BNCI2014_001:budget-2-seed-20260804,2,calibration,4,PASS
BNCI2014_001:budget-4-seed-20260804,4,calibration,8,PASS
BNCI2014_001:budget-8-seed-20260804,8,calibration,16,PASS
BNCI2014_001:budget-16-seed-20260804,16,calibration,32,PASS
BNCI2014_001:budget-32-seed-20260804,32,calibration,64,PASS
Lee2019_MI:budget-1-seed-20260804,1,calibration,2,PASS
Lee2019_MI:budget-2-seed-20260804,2,calibration,4,PASS
Lee2019_MI:budget-4-seed-20260804,4,calibration,8,PASS
Lee2019_MI:budget-8-seed-20260804,8,calibration,16,PASS
Lee2019_MI:budget-16-seed-20260804,16,calibration,32,PASS
Lee2019_MI:budget-32-seed-20260804,32,calibration,64,PASS
PhysioNetMI:budget-1-seed-20260804,1,calibration,2,PASS
PhysioNetMI:budget-2-seed-20260804,2,calibration,4,PASS
PhysioNetMI:budget-4-seed-20260804,4,calibration,8,PASS
PhysioNetMI:budget-8-seed-20260804,8,calibration,16,PASS
PhysioNetMI:budget-16-seed-20260804,16,calibration,32,PASS
PhysioNetMI:budget-32-seed-20260804,32,calibration,64,PASS
