artifact_id,producer_phase,producer_layer,artifact_type,canonical_location,schema,status,immediate_consumer,later_consumers,required_or_optional,availability,integrity,limitations,ready
P02-PREDICTION-SUBSTRATE,P02,L2,PredictionRecord partitions,execution/runtime/manifests/record_partitions/PredictionRecord,iharq://schemas/p02/predictionrecord/v1,CURRENT_CANONICAL,P03/L3,L4-L10; reproduction,REQUIRED,"POINTER_BACKED; 1,014 partition manifests local; heavy rows recoverable from preferred workspace",Stage20 required prediction/support fields PASS,conditional score semantics; preserve class order and lineage,YES
P02-MODEL-REGISTRY,P02,L2,ModelRegistryRecord + checkpoint lineage,execution/runtime/records/ModelRegistryRecord,iharq://schemas/p02/modelregistryrecord/v1,CURRENT_CANONICAL,P03/L3,later decoder consumers; reproduction,REQUIRED,672 light ModelRegistryRecord rows local; heavy checkpoints external where applicable,672 rows/partition manifests; checkpoint SHA fields governed,conditional branch failures/skips remain visible,YES
P02-BASELINE-METRICS,P02,L2,BaselineMetricRecord,execution/runtime/records/BaselineMetricRecord,iharq://schemas/p02/baselinemetricrecord/v1,CURRENT_CANONICAL,P03 context,Analysis/Layer0/EvidenceMap/Layer10,REQUIRED_CONTEXT,LOCAL,"2,625 rows; schema frozen",A0 raw accept-all semantics; use governed aggregation,YES
P02-LOW-LABEL-CURVES,P02,L2,LowCalibrationCurveRecord,execution/runtime/records/LowCalibrationCurveRecord,iharq://schemas/p02/lowcalibrationcurverecord/v1,CURRENT_CANONICAL,P03 context,later low-label analyses/Layer10,REQUIRED_CONTEXT,LOCAL,36 rows; schema frozen,one frozen subset per budget; not repeated-subset stability evidence,YES
P02-SUBJECT-PROFILES,P02,L2,SubjectProfileRecord,execution/runtime/records/SubjectProfileRecord,iharq://schemas/p02/subjectprofilerecord/v1,CURRENT_CANONICAL,P03 context,L5/L6/L8/L10,OPTIONAL_BUT_GOVERNED,LOCAL,18 rows; schema frozen,participant scope follows frozen test population,YES
P02-A4-CONTROLS,P02,L2,EnsembleControlRecord + A4 analysis inputs,execution/runtime/records/EnsembleControlRecord,iharq://schemas/p02/ensemblecontrolrecord/v1,CURRENT_CANONICAL,P03 context,L4/L10/reproduction,OPTIONAL_CONTEXT,LOCAL,342 records + governed A4 analysis inputs,single canonical refit repeat/deep anchor budgets; Stage18S separate post-hoc,YES
P02-FAILURE-INDEX,P02,L2,FailureCaseIndex,execution/runtime/records/FailureCaseIndex,iharq://schemas/p02/failurecaseindex/v1,CURRENT_CANONICAL,P03/L3,all affected consumers,REQUIRED_SUPPORT,LOCAL,648 records; schema frozen,do not conflate failure/skip/incompatibility classes,YES
P02-NEGATIVE-NOTES,P02,L2,NegativeResultNote,execution/runtime/records/NegativeResultNote,iharq://schemas/p02/negativeresultnote/v1,CURRENT_CANONICAL,P03/L3,Layer0/EvidenceMap/Layer10/Paper,REQUIRED_SUPPORT,LOCAL,340 records; schema frozen,negative result does not imply universal ineffectiveness,YES
P02-DIAGNOSTIC-FLAGS,P02,L2,DiagnosticOnlyFlag,execution/runtime/records/DiagnosticOnlyFlag,iharq://schemas/p02/diagnosticonlyflag/v1,CURRENT_CANONICAL,P03/L3,all affected consumers,REQUIRED_SUPPORT,LOCAL,309 records; schema frozen,diagnostic artifacts are non-claim-bearing unless separately governed,YES
P02-L2-READINESS-P03,P02,L2,Layer2ReadinessReport,execution/runtime/records/Layer2ReadinessReport/dataset=ALL/branch=READINESS/budget=ALL/P02-L2-READINESS-P03.jsonl,iharq://schemas/p02/layer2readinessreport/v1,CURRENT_CANONICAL,P03,release/reproduction,REQUIRED,LOCAL,compatibility_status=PASS; missing_fields=[]; blocking_reasons=[],inherits all persistent P02 limitations,YES
P02-A0-ANALYSIS,P02,L2,A0 metrics/statistics contract,execution/runtime/analysis_inputs/a0_completion.json,P02 cumulative analysis contract,CURRENT_CANONICAL,P03 context,Analysis/Layer0/EvidenceMap/Layer10,REQUIRED_CONTEXT,LOCAL,678 terminal cells reconciled,no universal decoder winner claim,YES
P02-A4-ANALYSIS,P02,L2,A4 comparison/statistics contract,execution/runtime/analysis_inputs/a4_completion.json,P02 cumulative analysis contract,CURRENT_CANONICAL,P03 context,Analysis/Layer0/EvidenceMap/Layer10,OPTIONAL_CONTEXT,LOCAL,"1,218 terminal cells reconciled",resource-constrained evidence ceiling applies,YES
P02-STAGE11-12-LINEAGE,P02,L2,Stage11/12 correction/amendment lineage,execution/runtime/analysis_inputs/training_policy_challenger_completion.json,Protocol amendment/successor records,CURRENT_CANONICAL,P03 reproduction context,Paper/reproduction,REQUIRED_HISTORY,LOCAL,accepted vs diagnostic lineage preserved,post-observation/source-informed amendments; do not retrospectively normalize,YES
P02-STAGE18S,P02,L2,Stage18S sensitivity supplement,execution/runtime/analysis_inputs/stage18S_R1_decision_support_summary.json,P02 Stage18S handoff,CURRENT_CANONICAL,P03 context,future A4 design/Layer10,OPTIONAL_CONTEXT,LOCAL,supplement PASS; canonical Stage18 unchanged,POST_HOC/DESCRIPTIVE/SENSITIVITY only,YES
P02-RECORD-SCHEMA-FREEZE,P02,L2,Frozen P02 record schemas,execution/implementation/contracts/record_schema_freeze.yaml,P02-RECORD-SCHEMA-FREEZE-R2,CURRENT_CANONICAL,P03/L3,P04+ loaders/reproduction,REQUIRED,LOCAL,10 governed record schemas; predecessor mutation prohibited,owner-routed warnings/comparison reports remain separate,YES
P02-TO-P03-CONTRACT,P02,L2,P03 input contract,execution/implementation/contracts/p03_handoff_contract.yaml,P02-TO-P03-INPUT-CONTRACT-R1,CURRENT_CANONICAL,P03,later phase intake templates,REQUIRED,LOCAL,contract parsed and reconciled with Stage20 readiness,P03 may calibrate/threshold; P02 may not,YES
