claim_id,origin_phase,disposition,reviewed_text,claim_ceiling,layer10_eligibility
P00-CLM-001/v2,P00,APPROVED_WITH_QUALIFICATIONS,"Under the exact registered local snapshot and verified Python 3.13.5 environment, all 19 registered Phase 0 engineering/foundation conformance cells passed; this is non-empirical Mode B evidence and does not establish scientific effectiveness or Phase 0 closure.",ENGINEERING_FOUNDATION_CONFORMANCE,PRESERVED_EXISTING_LAYER10
P00-CLM-002/v2,P00,APPROVED_WITH_QUALIFICATIONS,"In the frozen local Python 3.13.5 environment, the complete registered deterministic suite passed 102 of 102 tests; cross-version portability is not established.",ENGINEERING_FOUNDATION_CONFORMANCE,PRESERVED_EXISTING_LAYER10
P00-CLM-003/v2,P00,APPROVED_WITH_QUALIFICATIONS,"Within the registered non-empirical fixture inventory, all 19 valid or integrated bundles were accepted and all 178 intentionally malformed categories were rejected as expected, with zero false valid rejections and zero false malformed acceptances.",VALIDATION_EVIDENCE,PRESERVED_EXISTING_LAYER10
P00-CLM-004/v2,P00,APPROVED_WITH_QUALIFICATIONS,"The frozen Phase 0 package contains and validates the registered foundation inventories of 85 schemas, 35 configuration profiles, and 79 record-family profiles; inventory closure does not establish later-phase scientific effectiveness.",ARTIFACT_CLOSURE,PRESERVED_EXISTING_LAYER10
P00-CLM-005/v2,P00,APPROVED_WITH_QUALIFICATIONS,All eleven Layer 0–10 foundation interfaces passed the registered Phase 0 integration scope; no later-phase scientific execution or effectiveness result is claimed.,FOUNDATION_INTEGRATION,PRESERVED_EXISTING_LAYER10
P00-CLM-006/v2,P00,APPROVED_WITH_QUALIFICATIONS,"The P00 implementation foundation is complete within its registered local scope, and P01–P15 reusable contract surfaces are ready for later governed annex creation and execution; future empirical outputs have not been produced.",CONTRACT_READINESS,PRESERVED_EXISTING_LAYER10
P00-CLM-007/v2,P00,APPROVED_WITH_QUALIFICATIONS,The package reproduced from a clean isolated copy under the exact verified Python 3.13.5 and 22-distribution local dependency snapshot; portable cross-version reproducibility is not established.,LOCAL_REPRODUCIBILITY,PRESERVED_EXISTING_LAYER10
P01-CLM-001/v1,P01,APPROVED_WITH_QUALIFICATIONS,"Within the frozen P01 binary motor-imagery branch, Phase 1 established a checksum-bound, provenance-traceable foundation over the three activated public EEG datasets.",DATA_PROVENANCE_REPRODUCIBILITY,ELIGIBLE_WITH_QUALIFICATION
P01-CLM-002/v1,P01,APPROVED_WITH_QUALIFICATIONS,"The frozen P01 split assigned 172 subject groups wholly and disjointly across train, calibration, validation, and test roles and passed the implemented registered leakage/disjointness checks; this does not prove that every conceivable leakage mechanism is impossible.",IMPLEMENTED_SPLIT_AND_LEAKAGE_CHECKS,ELIGIBLE_WITH_QUALIFICATION
P01-CLM-003/v1,P01,APPROVED,"Under the frozen official core-window policy, all 12,910 accepted events yielded 12,910 valid core windows, with 0/12,910 invalid official core windows.",DATA_MATERIALIZATION_CLOSURE,ELIGIBLE
P01-CLM-004/v1,P01,APPROVED_WITH_QUALIFICATIONS,"The official P01 core numerical artifact was persisted as 172 lossless HDF5 subject shards covering 12,910 windows and was verified under its Kaggle provider-version/logical-revision/manifest-hash identity contract.",RETRIEVAL_STORAGE_INTEGRITY_REPRODUCIBILITY,ELIGIBLE_WITH_QUALIFICATION
P01-CLM-005/v1,P01,APPROVED_WITH_QUALIFICATIONS,"P01 applied the ANNOTATE_NOT_REPAIR quality policy across 489 quality summaries: 20 soft/provider flags were retained, 0/489 summaries were hard-invalid, and 0/12,910 official core windows were invalid under the registered criteria.",QUALITY_ANNOTATION_AND_HARD_VALIDITY_CLOSURE,ELIGIBLE_WITH_QUALIFICATION
P01-CLM-006/v1,P01,APPROVED_WITH_QUALIFICATIONS,"P01 established Layer-1 foundation readiness for each official A0-A13 identity; none of these ablation-effectiveness experiments was executed in P01, and A14 remained absent/prohibited.",FOUNDATION_READINESS_ONLY,ELIGIBLE_WITH_QUALIFICATION
P01-CLM-007/v1,P01,APPROVED_WITH_QUALIFICATIONS,"P01 established a fully matched A4 R2 Layer-1 data substrate for future governed evaluation: 12,910/12,910 parent events are represented without padding, clipping, fabricated samples, or parent-event loss. A4 R2 arose after the +4.0 s feasibility failure and was not evaluated for decoder effectiveness in P01.",FUTURE_A4_SUBSTRATE_READINESS,ELIGIBLE_WITH_QUALIFICATION
P01-CLM-008/v1,P01,APPROVED,"The accepted P01 execution completed 27/27 registered stages, 16/16 deterministic P01 gates, and 50/50 regression tests with 0 unresolved blockers; final execution-bundle integrity checks also closed.",EXECUTION_REPRODUCIBILITY_CLOSURE,ELIGIBLE
P01-CLM-009/v1,P01,APPROVED_WITH_QUALIFICATIONS,"The accepted P01 run used Python 3.12.13 under a documented compatibility amendment and the governed adaptive-disk policy P01-L1-KAGGLE-ADAPTIVE-DISK-R1; the accepted records show no change to the frozen datasets, labels, subject split, core preprocessing, core window policy, or 12,910-event denominator attributable to these runtime/resource amendments.",EXECUTION_REPRODUCIBILITY,ELIGIBLE_WITH_QUALIFICATION
P01-CLM-010/v1,P01,APPROVED_WITH_QUALIFICATIONS,"P01 freezes a technical Layer-1 data contract that P02 may consume using the recorded dataset, label-map, split, preprocessing, core-window, and external-artifact identities; silent relabeling, rewindowing, split mutation, denominator substitution, or test-visibility leakage is prohibited. This is technical readiness, not evidence of P02 scientific success.",DOWNSTREAM_TECHNICAL_DATA_CONTRACT_READINESS,ELIGIBLE_WITH_QUALIFICATION
P01-CLM-011/v1,P01,DEFERRED,P01 did not evaluate whether A4 R2 improves decoder performance relative to the core window; that effectiveness question remains deferred to a future governed matched downstream experiment.,NOT_CLAIMABLE_FROM_P01,NEGATIVE_OR_DEFERRED_REGISTER_ONLY
P01-CLM-012/v1,P01,REJECTED,"P01 is a public, non-clinical data-foundation and execution-validation phase; it does not establish clinical effectiveness, patient benefit, deployment safety, or medical-device readiness.",NOT_CLAIMABLE_FROM_P01,NEGATIVE_OR_FORBIDDEN_REGISTER_ONLY
P02-CLM-001/v1,P02,APPROVED_WITH_QUALIFICATIONS,"Under the frozen P01 subject-grouped binary motor-imagery protocol, P02 established a complete multi-family raw accept-all decoder/baseline measurement spine across the three activated public EEG datasets; this is Layer-2 measurement evidence and does not establish calibration, abstention, clinical effectiveness, safety, or deployment readiness.",SUPPORTED,ELIGIBLE_WITH_QUALIFICATION
P02-CLM-002/v1,P02,APPROVED_WITH_QUALIFICATIONS,"Within full-training A0, descriptive decoder ordering was dataset-dependent: CSP-LDA led the single-participant BNCI2014_001 test split, while DBConformer had the highest participant-first mean BACC on Lee2019_MI and PhysioNetMI. These rankings are descriptive and do not establish a universal winning decoder.",SUPPORTED_WITH_QUALIFICATION,ELIGIBLE_WITH_QUALIFICATION
P02-CLM-003/v1,P02,APPROVED_WITH_QUALIFICATIONS,"On PhysioNetMI full-training A0, the governed Friedman comparison detected overall decoder heterogeneity (statistic 20.544, p=0.00451, Kendall W=0.267), while no individual alternative-versus-CSP-LDA contrast survived Holm correction; the omnibus result therefore does not identify a statistically supported pairwise winner.",SUPPORTED_WITH_QUALIFICATION,ELIGIBLE_WITH_QUALIFICATION
P02-CLM-004/v1,P02,APPROVED_WITH_QUALIFICATIONS,"Across the governed 1, 2, 4, 8, 16 and 32 labels/class P02 low-label surface, performance was difficult, non-monotonic and rank-changing under one frozen subset per budget; the evidence does not support a stable or universal sample-efficiency ordering among the evaluated branches.",SUPPORTED_WITH_QUALIFICATION,ELIGIBLE_WITH_QUALIFICATION
P02-CLM-005/v1,P02,APPROVED_WITH_QUALIFICATIONS,"The preserved P02 training-correction history shows that model viability and optimization behavior under the implemented configurations depended materially on training-policy choice. This supports treating inadequate optimization as distinct from demonstrated architectural incapacity, but does not establish universal test-set gains, architecture superiority, or theoretical invalidity of the earlier generic policy.",SUPPORTED_WITH_QUALIFICATION,ELIGIBLE_WITH_QUALIFICATION
P02-CLM-006/v1,P02,APPROVED_WITH_QUALIFICATIONS,"The Stage-11 S&R diagnostic challenger did not yield a consistent participant-level BACC improvement over the canonical primary EEGNet across BNCI2014_001, Lee2019_MI and PhysioNetMI; it remains diagnostic-only and does not replace primary A0 evidence.",SUPPORTED,ELIGIBLE_WITH_QUALIFICATION
P02-CLM-007/v1,P02,APPROVED_WITH_QUALIFICATIONS,"Within the canonical resource-constrained A4 scope, none of the 756 governed C1-C3 role-control statistical rows reached raw p<=0.05. This is an absence of statistically detected improvement under the executed scope, not proof that the true effect is zero and not evidence of five-repeat or dense-budget stability.",SUPPORTED_WITH_QUALIFICATION,ELIGIBLE_WITH_QUALIFICATION
P02-CLM-008/v1,P02,APPROVED_WITH_QUALIFICATIONS,A hard-vote ensemble was not uniformly beneficial: one governed PhysioNetMI full-training C4 comparison at repeat 4 showed a Holm-significant disadvantage relative to the validation-selected EEGNet constituent (median delta BACC -0.0435; Holm p=0.0371). This cell-specific negative result does not establish that ensembles are generally inferior.,SUPPORTED_WITH_QUALIFICATION,ELIGIBLE_WITH_QUALIFICATION
