repair_id,defect,owner,before_evidence,repair,invalidated_scope,rerun,final_status
P00-AN-REPAIR-001,MONOLITHIC_CELL_RUNNER_TIMEOUT,analysis orchestration,single combined process exceeded tool window after four cells,execute each registered cell in bounded independently logged chunks,execution summary only,all 19 cells,RESOLVED
P00-AN-REPAIR-002,MONOLITHIC_REPRODUCTION_TIMEOUT,local reproduction orchestration,single wrapper exceeded tool window,perform isolated venv reproduction as bounded steps,reproduction evidence,"runtime lock, uv status, install, tests, conformance, audit, manifests",RESOLVED
P00-AN-REPAIR-003,STALE_BUILD_BOOK_PROTOCOL_PENDING_STATUS,Build Book status surface,R4 prepared before final Protocol R2 freeze,preserve R4 and issue analysis status/supersession annex,status interpretation only,source and status consistency audit,RESOLVED
P00-AN-REPAIR-004,HISTORICAL_GITHUB_GATE_LANGUAGE,workflow strategy/gate profile,older audit runners retain GitHub-blocked historical verdicts,classify as historical regression evidence and apply local-first current gate profile,current status synthesis,gate and result consistency audit,RESOLVED
P00-AN-REPAIR-005,MISSING_ANALYSIS_RELEASE,Phase 0 analysis/report,downstream readiness only,create immutable execution and analysis releases plus machine companions and handoffs,none,full analysis validation,RESOLVED
P00-AUD-DEF-001,PACKAGE_MANIFEST_MISMATCH,Phase 0 analysis/report/package,R1 package manifest carried a stale hash/byte count for phase_0_analysis_manifest.yaml.,Regenerate the R2 release manifest only after all final R2 bytes are frozen.,reports/phase_00_analysis/analysis_release_R1/phase_0_analysis_package_manifest.json,independent audit + affected validators + full suite,RESOLVED
P00-AUD-DEF-002,BROKEN_HASH,Phase 0 analysis/report/package,"Three R1 publication-asset rows had stale hashes or byte counts, including the report, analysis manifest, and asset manifest itself.",Create a self-excluding R2 publication-asset manifest from current bytes.,reports/phase_00_analysis/analysis_release_R1/machine_readable/phase_0_publication_asset_manifest.csv,independent audit + affected validators + full suite,RESOLVED
P00-AUD-DEF-003,MISSING_ANALYSIS_REQUIREMENT,Phase 0 analysis/report/package,The independent final-audit contract was not present in the prior source baseline or requirement matrix.,Add the prompt to the repository and create a source-exhaustive independent audit requirement matrix.,reports/phase_00_analysis/analysis_release_R1/machine_readable/phase_0_requirement_traceability.csv,independent audit + affected validators + full suite,RESOLVED
P00-AUD-DEF-004,MACHINE_HUMAN_DRIFT,Phase 0 analysis/report/package,The prior no-drift report checked selected fields but did not verify the stale release/package hashes discovered by this audit.,Replace it with a field-level R2 no-drift report and cryptographic manifest verification.,reports/phase_00_analysis/analysis_release_R1/report_machine_no_drift.json,independent audit + affected validators + full suite,RESOLVED
P00-AUD-DEF-005,STALE,Phase 0 analysis/report/package,The creation handoff correctly required this independent audit as its next step and therefore could not serve as the final-audit handoff.,Issue a separate final-audit handoff R2 while preserving R1 as historical.,reports/phase_00_analysis/phase_0_analysis_creation_handoff_R1.yaml,independent audit + affected validators + full suite,RESOLVED
P00-AUD-DEF-006,COUNT_DRIFT,Phase 0 analysis/report/package,"Adding independent-audit validators changes the deterministic test inventory; R2 must derive, not copy, its final test denominator.",Recalculate after adding R2 tests and regenerate report/machine counts.,reports/phase_00_analysis/analysis_release_R1/IHARQ_Phase_0_Analysis_Evidence_Results_and_Interpretation_Report_R1.md,independent audit + affected validators + full suite,RESOLVED
P00-AUD-DEF-007,BROKEN_HASH,Phase 0 analysis/report/package,The README changed for the R2 successor and invalidated its governed artifact-pointer checksum.,Regenerated the pointer byte count and SHA-256 from the final README bytes; rerun integration and full tests.,fixtures/integrated/final_artifact_pointer_checksum_chain.json;README.md,independent audit + affected validators + full suite,RESOLVED
