phase,outputs,allowed_use,prohibited_use,lifecycle,limitations,schema,validation,status
P05,past-only uncertainty/threshold histories,strictly past-only temporal context under P05 Protocol,"future outcomes, P03 rewrite, universal-risk claims",append-only lifecycle; exact versions; invalidation and supersession propagated,all P00-P03 limitations plus product-specific limits,versioned P03 schemas in record_field_contracts.yaml,schema + permission + fresh-session smoke-read + checksum,READY_BY_CONTRACT_AFTER_ACCEPTED_P03_EXECUTION
P06,registered L3 evidence and readiness,P06-owned supervised evidence-quality learning,using P03 evaluation truth as decision-time input,append-only lifecycle; exact versions; invalidation and supersession propagated,all P00-P03 limitations plus product-specific limits,versioned P03 schemas in record_field_contracts.yaml,schema + permission + fresh-session smoke-read + checksum,READY_BY_CONTRACT_AFTER_ACCEPTED_P03_EXECUTION
P07,A2/A3 registered rules and risk/coverage sources,P07-owned deferral learning and comparison,calling P03 abstention a deployed deferral policy,append-only lifecycle; exact versions; invalidation and supersession propagated,all P00-P03 limitations plus product-specific limits,versioned P03 schemas in record_field_contracts.yaml,schema + permission + fresh-session smoke-read + checksum,READY_BY_CONTRACT_AFTER_ACCEPTED_P03_EXECUTION
P08,frozen thresholds/readiness/limitations,simulation-only readiness evaluation,real deployment or clinical claims,append-only lifecycle; exact versions; invalidation and supersession propagated,all P00-P03 limitations plus product-specific limits,versioned P03 schemas in record_field_contracts.yaml,schema + permission + fresh-session smoke-read + checksum,READY_BY_CONTRACT_AFTER_ACCEPTED_P03_EXECUTION
P09,L3 source/uncertainty/group profiles,stress-context evaluation under P09 Protocol,retroactive P03 selection,append-only lifecycle; exact versions; invalidation and supersession propagated,all P00-P03 limitations plus product-specific limits,versioned P03 schemas in record_field_contracts.yaml,schema + permission + fresh-session smoke-read + checksum,READY_BY_CONTRACT_AFTER_ACCEPTED_P03_EXECUTION
P10,registered evidence interface,P10-owned bandit policy,evaluation-only fields or mutable latest rules,append-only lifecycle; exact versions; invalidation and supersession propagated,all P00-P03 limitations plus product-specific limits,versioned P03 schemas in record_field_contracts.yaml,schema + permission + fresh-session smoke-read + checksum,READY_BY_CONTRACT_AFTER_ACCEPTED_P03_EXECUTION
P11,frozen L3 outputs transitively,P11-owned policy construction,treating P03 outputs as reward truth,append-only lifecycle; exact versions; invalidation and supersession propagated,all P00-P03 limitations plus product-specific limits,versioned P03 schemas in record_field_contracts.yaml,schema + permission + fresh-session smoke-read + checksum,READY_BY_CONTRACT_AFTER_ACCEPTED_P03_EXECUTION
P12,frozen policy/readiness chain,simulation demonstration,physical/clinical efficacy claims,append-only lifecycle; exact versions; invalidation and supersession propagated,all P00-P03 limitations plus product-specific limits,versioned P03 schemas in record_field_contracts.yaml,schema + permission + fresh-session smoke-read + checksum,READY_BY_CONTRACT_AFTER_ACCEPTED_P03_EXECUTION
P13,portable source/handoff bundle,replay/comparison if P13 Protocol activates it,rewriting L3 metrics or thresholds,append-only lifecycle; exact versions; invalidation and supersession propagated,all P00-P03 limitations plus product-specific limits,versioned P03 schemas in record_field_contracts.yaml,schema + permission + fresh-session smoke-read + checksum,READY_BY_CONTRACT_AFTER_ACCEPTED_P03_EXECUTION
P14,Layer10 source bundle and dashboard metric candidates,read-only rendering,"recompute, reselect, or strengthen evidence",append-only lifecycle; exact versions; invalidation and supersession propagated,all P00-P03 limitations plus product-specific limits,versioned P03 schemas in record_field_contracts.yaml,schema + permission + fresh-session smoke-read + checksum,READY_BY_CONTRACT_AFTER_ACCEPTED_P03_EXECUTION
P15,paper/thesis provenance bundle,bounded synthesis after governance,unqualified generalization or missing negative evidence,append-only lifecycle; exact versions; invalidation and supersession propagated,all P00-P03 limitations plus product-specific limits,versioned P03 schemas in record_field_contracts.yaml,schema + permission + fresh-session smoke-read + checksum,READY_BY_CONTRACT_AFTER_ACCEPTED_P03_EXECUTION
