reference_id,title,authors,year,venue,doi,authoritative_code,model_or_topic,comparison_role,comparability,verification,doi_or_identifier,canonical_identifier
LIT-EEGNET,EEGNet: a compact convolutional neural network for EEG-based brain-computer interfaces,Lawhern et al.,2018,Journal of Neural Engineering 15(5):056013,10.1088/1741-2552/aace8c,vlawhern/arl-eegmodels,EEGNet,architecture/training provenance,METHODOLOGICAL_REFERENCE_ONLY,Freshly reverified 2026-08-14 against PubMed and ARL author repository.,,
LIT-FBCNET,FBCNet: A Multi-view Convolutional Neural Network for Brain-Computer Interface,Mane et al.,2021,arXiv extended version / author toolbox lineage,,ravikiran-mane/FBCNet,FBCNet,architecture/training provenance,METHODOLOGICAL_REFERENCE_ONLY,Freshly reverified 2026-08-14 against author repository and publication metadata.,arXiv:2104.01233,
LIT-DBCONF,DBConformer: Dual-Branch Convolutional Transformer for EEG Decoding,Wang et al.,2026,IEEE Journal of Biomedical and Health Informatics 30(5):4134-4147,10.1109/JBHI.2025.3622725,wzwvv/DBConformer,DBConformer,architecture/evaluation-regime context,METHODOLOGICAL_REFERENCE_ONLY,Freshly reverified 2026-08-14 against PubMed and author repository.,,
LIT-CBRAMOD,CBraMod: A Criss-Cross Brain Foundation Model for EEG Decoding,Wang et al.,2025,ICLR 2025,,wjq-learning/CBraMod,CBraMod,foundation-model context,METHODOLOGICAL_REFERENCE_ONLY,Freshly reverified 2026-08-14 against ICLR proceedings and author repository.,,ICLR/OpenReview; arXiv:2412.07236
LIT-OPENBMI,EEG dataset and OpenBMI toolbox for three BCI paradigms: an investigation into BCI illiteracy,Lee et al.,2019,GigaScience 8(5):giz002,10.1093/gigascience/giz002,,Lee2019_MI/OpenBMI dataset,dataset canonical reference,DATASET_REFERENCE,Freshly reverified 2026-08-14 against PubMed/PMC.,,
LIT-PHYSIONET,EEG Motor Movement/Imagery Dataset v1.0.0,Goldberger/PhysioNet dataset lineage; experimental design McFarland/Wolpaw,2009,PhysioNet,10.13026/C28G6P,,PhysioNetMI dataset,dataset canonical reference,DATASET_REFERENCE,Freshly reverified 2026-08-14 against official PhysioNet dataset page.,,
LIT-BCIIV2A,BCI Competition IV Data Set 2a,Graz BCI group / Competition IV organizers,2008,BCI Competition IV,,,BNCI2014_001 source lineage,dataset canonical reference,DATASET_REFERENCE,Freshly reverified 2026-08-14 against official BCI Competition IV site.,,official BCI Competition IV dataset 2a
LIT-RIEMANN,Multiclass brain-computer interface classification by Riemannian geometry,Barachant et al.,2012,IEEE Transactions on Biomedical Engineering 59(4):920-928,10.1109/TBME.2011.2172210,,Riemannian covariance methods,classical/Riemannian methodological context,METHODOLOGICAL_REFERENCE_ONLY,Freshly reverified 2026-08-14 against PubMed.,,
LIT-MOABB,The largest EEG-based BCI reproducibility study for open science: the MOABB benchmark,Chevallier et al.,2024,open reproducibility benchmark / arXiv:2404.15319,,,multi-dataset reproducible benchmarking,benchmark context,CONTEXTUAL_ONLY,"Freshly reverified 2026-08-14; used only as contextual benchmark, not numerical comparator.",,
LIT-EEGFM2026,"EEG Foundation Models: Progresses, Benchmarking, and Open Problems",Liu et al.,2026,arXiv:2601.17883,,,EEG foundation model benchmarking,recent context for specialist-vs-foundation performance,CONTEXTUAL_ONLY,Freshly reverified 2026-08-14; not used to claim direct numeric equivalence.,,
