requirement_id,source_authority,source_section,P02_interpretation,Layer2_module,implementation_component,config,test,gate,output,downstream_consumer,status
REQ-GOV-01,Governance V6.1,single-track phase workflow,Use one direct P02 implementation→one notebook→evidence→handoff workflow.,all,notebook orchestrator,phase.yaml,T-BUNDLE-01,G24,execution bundle,project,MAPPED
REQ-GOV-02,Governance V6.1,one-notebook default,Exactly one comprehensive Kaggle notebook; no alternate scientific execution mode.,all,notebook orchestrator,phase.yaml,T-BUNDLE-01,G05,notebook stage manifest,all,MAPPED
REQ-GOV-03,Governance V6.1,scope non-reduction,"Do not omit baselines, controls, ablations, seeds, metrics, failures, records or handoffs for brevity/resource convenience.",all,run matrix + gate engine,phase.yaml,T-ABL-01,G05,run/attempt ledger,Analysis/L10,MAPPED
REQ-GOV-04,Governance V6.1,evidence-insufficiency loopback,Repair only affected implementation/notebook/run scope and preserve superseded attempts.,all,repair/reentry controller,gates.yaml,T-FAIL-01,G23,repair/reentry record,Protocol/Analysis,MAPPED
REQ-GOV-05,Governance V6.1,cumulative reuse-first,Consume the cumulative P00/P01 state and do not regenerate valid upstream truth.,M01/M08,input adapters,p02_input_contract.yaml,T-BUD-01,G04,input validation report,all,MAPPED
REQ-GOV-06,Governance V6.1,full ablation coverage,Every scientifically/authority-unlocked P02-owned ablation executes inside the same notebook; downstream-owned ablations remain boundaries.,owner-mapped,ablation unlock controller,p02_ablation_unlock_matrix.yaml,T-ABL-01,G18U,ablation ledger/evidence,Protocol/Analysis/L0/EMap/L10,MAPPED
REQ-GOV-07,Governance V6.1,negative evidence preservation,Failed/skipped/resource/license/incompatible branches remain queryable and enter downstream analysis.,all,failure ledger,outputs.yaml,T-FAIL-01,G19,FailureCaseIndex/NegativeResultNote,Analysis/L0/L10,MAPPED
REQ-PSTATE-01,Cumulative P00/P01 handoff,P02 entry readiness,Require current merged state and P01-G15 PASS before scientific stages.,M08,preflight validator,p02_input_contract.yaml,T-READY-01,G00,entry validation,P02,MAPPED
REQ-PSTATE-02,Cumulative P00/P01 handoff,P01 scientific immutability,No relabel/resplit/rewindow/repair/overwrite of accepted P01 records.,M01/M08,input firewall,p02_input_contract.yaml,T-BUD-01,G04,input integrity audit,all,MAPPED
REQ-PSTATE-03,Cumulative P00/P01 handoff,external artifact integrity,Resolve core/A4 pointers by provider/logical revision and manifest hash before use.,M01/M08,pointer resolver,data.yaml,T-REC-01,G03,external pointer validation,reproduction,MAPPED
