cell_id,purpose,command,terminal_status,included_in_analysis,evidence_class,exit_code,stdout_log,stderr_log,limitation
P00-CELL-AUTHORITY-INTAKE,Verify authority/source identities and requirement disposition,python scripts/run_local_first_finalization_audit.py,PASS,YES,ENGINEERING_FOUNDATION_CONFORMANCE,0,reports/phase_00_analysis/execution_release_R2/cell_logs/01_P00-CELL-AUTHORITY-INTAKE_stdout.log,reports/phase_00_analysis/execution_release_R2/cell_logs/01_P00-CELL-AUTHORITY-INTAKE_stderr.log,NON_EMPIRICAL; NON_CLAIM_BEARING
P00-CELL-SCHEMA-COVERAGE,Validate JSON Schema and record-family coverage,python scripts/run_static_checks.py,PASS,YES,ENGINEERING_FOUNDATION_CONFORMANCE,0,reports/phase_00_analysis/execution_release_R2/cell_logs/02_P00-CELL-SCHEMA-COVERAGE_stdout.log,reports/phase_00_analysis/execution_release_R2/cell_logs/02_P00-CELL-SCHEMA-COVERAGE_stderr.log,NON_EMPIRICAL; NON_CLAIM_BEARING
P00-CELL-CONFIG-RESOLUTION,Resolve strict P00 configuration,python -m iharq.cli phase validate-inputs --phase P00 --profile configs/phases/p00.yaml,PASS,YES,ENGINEERING_FOUNDATION_CONFORMANCE,0,reports/phase_00_analysis/execution_release_R2/cell_logs/03_P00-CELL-CONFIG-RESOLUTION_stdout.log,reports/phase_00_analysis/execution_release_R2/cell_logs/03_P00-CELL-CONFIG-RESOLUTION_stderr.log,NON_EMPIRICAL; NON_CLAIM_BEARING
P00-CELL-IDENTITY-JCS-HASH,"Validate typed IDs, canonical serialization, SHA-256 and golden vectors",python -m pytest -q tests/test_canonical.py tests/test_lineage_lifecycle.py,PASS,YES,ENGINEERING_FOUNDATION_CONFORMANCE,0,reports/phase_00_analysis/execution_release_R2/cell_logs/04_P00-CELL-IDENTITY-JCS-HASH_stdout.log,reports/phase_00_analysis/execution_release_R2/cell_logs/04_P00-CELL-IDENTITY-JCS-HASH_stderr.log,NON_EMPIRICAL; NON_CLAIM_BEARING
P00-CELL-VALID-FIXTURES,Accept all valid and integrated non-empirical fixtures,python -m pytest -q tests/test_valid_fixtures.py,PASS,YES,ENGINEERING_FOUNDATION_CONFORMANCE,0,reports/phase_00_analysis/execution_release_R2/cell_logs/05_P00-CELL-VALID-FIXTURES_stdout.log,reports/phase_00_analysis/execution_release_R2/cell_logs/05_P00-CELL-VALID-FIXTURES_stderr.log,NON_EMPIRICAL; NON_CLAIM_BEARING
P00-CELL-MALFORMED-FIXTURES,Reject the complete malformed taxonomy,python -m pytest -q tests/test_negative_fixtures.py tests/test_audit1_negative_fixtures.py tests/test_audit2_negative_fixtures.py tests/test_audit3_negative_fixtures.py,PASS,YES,ENGINEERING_FOUNDATION_CONFORMANCE,0,reports/phase_00_analysis/execution_release_R2/cell_logs/06_P00-CELL-MALFORMED-FIXTURES_stdout.log,reports/phase_00_analysis/execution_release_R2/cell_logs/06_P00-CELL-MALFORMED-FIXTURES_stderr.log,NON_EMPIRICAL; NON_CLAIM_BEARING
P00-CELL-VALIDATOR-TEST-COVERAGE,Run complete deterministic suite,python -m pytest -q -p no:cacheprovider,PASS,YES,ENGINEERING_FOUNDATION_CONFORMANCE,0,reports/phase_00_analysis/execution_release_R2/cell_logs/07_P00-CELL-VALIDATOR-TEST-COVERAGE_stdout.log,reports/phase_00_analysis/execution_release_R2/cell_logs/07_P00-CELL-VALIDATOR-TEST-COVERAGE_stderr.log,NON_EMPIRICAL; NON_CLAIM_BEARING
P00-CELL-A0-A13-READINESS,Verify A0-A13 readiness and reject A14,python scripts/run_phase0_final_implementation_audit.py,PASS,YES,ENGINEERING_FOUNDATION_CONFORMANCE,0,reports/phase_00_analysis/execution_release_R2/cell_logs/08_P00-CELL-A0-A13-READINESS_stdout.log,reports/phase_00_analysis/execution_release_R2/cell_logs/08_P00-CELL-A0-A13-READINESS_stderr.log,NON_EMPIRICAL; NON_CLAIM_BEARING
P00-CELL-L0-L3-INTEGRATION,Verify L0-L3 integration foundation,python scripts/run_official_layer_audit_1.py,PASS,YES,ENGINEERING_FOUNDATION_CONFORMANCE,0,reports/phase_00_analysis/execution_release_R2/cell_logs/09_P00-CELL-L0-L3-INTEGRATION_stdout.log,reports/phase_00_analysis/execution_release_R2/cell_logs/09_P00-CELL-L0-L3-INTEGRATION_stderr.log,NON_EMPIRICAL; NON_CLAIM_BEARING
P00-CELL-POLICY-UPDATE,Verify update-enabled policy traceability,python scripts/run_official_layer_audit_2.py,PASS,YES,ENGINEERING_FOUNDATION_CONFORMANCE,0,reports/phase_00_analysis/execution_release_R2/cell_logs/10_P00-CELL-POLICY-UPDATE_stdout.log,reports/phase_00_analysis/execution_release_R2/cell_logs/10_P00-CELL-POLICY-UPDATE_stderr.log,NON_EMPIRICAL; NON_CLAIM_BEARING
