artifact_or_evidence_id,path,stage,ablation,condition,dataset,model,representation,budget,repeat,participant_scope,metrics,status,canonical_or_superseded,analysis_role,limitations,phase_analysis_location,size_bytes,sha256
a0_completion.json,runtime/analysis_inputs/a0_completion.json,canonical analysis contract,A0/A4/diagnostic/readiness as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,CURRENT,CANONICAL_CURRENT,Protocol-authorized Phase Analysis input,source-specific,§6 A0,1029,2e925e6e5fa223a518777f8b9cfa565b897c89ea9cfcdc2ae9bc54c32df1eb7e
a0_closure_source_manifest.json,runtime/analysis_inputs/a0_closure_source_manifest.json,canonical analysis contract,A0/A4/diagnostic/readiness as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,CURRENT,CANONICAL_CURRENT,Protocol-authorized Phase Analysis input,source-specific,§6 A0,525,4d1d0ab5494e8a0a040cd5443f4cbba339cc1e4b009df0ca9e06df765837f1c6
a0_participant_metrics.csv,runtime/analysis_inputs/a0_participant_metrics.csv,canonical analysis contract,A0/A4/diagnostic/readiness as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,CURRENT,CANONICAL_CURRENT,Protocol-authorized Phase Analysis input,source-specific,§6 A0,732426,6497ec474de6ba4750377af268ae79b0c13f25813006aa687505d3ee3d82fccd
a0_statistics.json,runtime/analysis_inputs/a0_statistics.json,canonical analysis contract,A0/A4/diagnostic/readiness as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,CURRENT,CANONICAL_CURRENT,Protocol-authorized Phase Analysis input,source-specific,§6 A0,15913,06200e70d3a1af4a4f4a12d35f03998a4681c7c0cab983199ee96eab7a947390
a4_completion.json,runtime/analysis_inputs/a4_completion.json,canonical analysis contract,A0/A4/diagnostic/readiness as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,CURRENT,CANONICAL_CURRENT,Protocol-authorized Phase Analysis input,source-specific,§10 A4,1245,0489a31df63523e5df1264fd2c1cf1738b6978ca4bc91fada20fab26a0cfcb90
a4_participant_metrics.csv,runtime/analysis_inputs/a4_participant_metrics.csv,canonical analysis contract,A0/A4/diagnostic/readiness as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,CURRENT,CANONICAL_CURRENT,Protocol-authorized Phase Analysis input,source-specific,§10 A4,847399,be0b5814900ead978ec6393e62bf06c22446cf9ce26747d6c15a46f28163b51c
a4_role_control_statistics.json,runtime/analysis_inputs/a4_role_control_statistics.json,canonical analysis contract,A0/A4/diagnostic/readiness as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,CURRENT,CANONICAL_CURRENT,Protocol-authorized Phase Analysis input,source-specific,§10 A4,613986,2a2ea0c4f0b8c0d98caaec28544907de07112b74ea6c5e22874b02012b046688
a4_role_control_participant_comparisons.csv,runtime/analysis_inputs/a4_role_control_participant_comparisons.csv,canonical analysis contract,A0/A4/diagnostic/readiness as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,CURRENT,CANONICAL_CURRENT,Protocol-authorized Phase Analysis input,source-specific,§10 A4,180508,75cc212bc1f971e3b52a84181b9760708da03051d647fd8f8e6ef17b0420583d
a4_c4_c5_statistics.json,runtime/analysis_inputs/a4_c4_c5_statistics.json,canonical analysis contract,A0/A4/diagnostic/readiness as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,CURRENT,CANONICAL_CURRENT,Protocol-authorized Phase Analysis input,source-specific,§10 A4,379930,d713c65a0d90a4628e763ac8e1f47c2706868bb9ce61813a32fd0e46d0c35f18
a4_c4_c5_comparison_artifacts.jsonl,runtime/analysis_inputs/a4_c4_c5_comparison_artifacts.jsonl,canonical analysis contract,A0/A4/diagnostic/readiness as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,as encoded,CURRENT,CANONICAL_CURRENT,Protocol-authorized Phase Analysis input,source-specific,§10 A4,448075,82337c19356ea1cd57ac9f43d84bcac7583f640ff709b537212ea12153654c7d
