comparison_id,dataset_id,role_id,alternative_condition,subject_id,matched_events,alternative_BACC,reference_BACC,paired_difference_BACC
P02-A4-PhysioNetMI-CLASSICAL-A4-C1-LONG-3P5S-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,CLASSICAL,A4-C1-LONG-3P5S,107,45,0.4553571428571429,0.5535714285714286,-0.0982142857142857
P02-A4-PhysioNetMI-CLASSICAL-A4-C1-LONG-3P5S-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,CLASSICAL,A4-C1-LONG-3P5S,27,45,0.45454545454545453,0.4990118577075099,-0.04446640316205536
P02-A4-PhysioNetMI-CLASSICAL-A4-C1-LONG-3P5S-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,CLASSICAL,A4-C1-LONG-3P5S,39,45,0.5513833992094861,0.4209486166007905,0.13043478260869557
P02-A4-PhysioNetMI-CLASSICAL-A4-C1-LONG-3P5S-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,CLASSICAL,A4-C1-LONG-3P5S,40,45,0.5803571428571428,0.5416666666666666,0.038690476190476164
P02-A4-PhysioNetMI-CLASSICAL-A4-C1-LONG-3P5S-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,CLASSICAL,A4-C1-LONG-3P5S,47,45,0.5952380952380952,0.6398809523809523,-0.044642857142857095
P02-A4-PhysioNetMI-CLASSICAL-A4-C1-LONG-3P5S-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,CLASSICAL,A4-C1-LONG-3P5S,48,45,0.5869565217391304,0.5859683794466404,0.0009881422924900019
P02-A4-PhysioNetMI-CLASSICAL-A4-C1-LONG-3P5S-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,CLASSICAL,A4-C1-LONG-3P5S,57,45,0.6517857142857142,0.5476190476190476,0.10416666666666663
P02-A4-PhysioNetMI-CLASSICAL-A4-C1-LONG-3P5S-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,CLASSICAL,A4-C1-LONG-3P5S,6,45,0.47023809523809523,0.43154761904761907,0.038690476190476164
P02-A4-PhysioNetMI-CLASSICAL-A4-C1-LONG-3P5S-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,CLASSICAL,A4-C1-LONG-3P5S,71,45,0.6304347826086957,0.6739130434782609,-0.04347826086956519
P02-A4-PhysioNetMI-CLASSICAL-A4-C1-LONG-3P5S-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,CLASSICAL,A4-C1-LONG-3P5S,93,45,0.7588932806324111,0.8448616600790514,-0.08596837944664026
P02-A4-PhysioNetMI-CLASSICAL-A4-C1-LONG-3P5S-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,CLASSICAL,A4-C1-LONG-3P5S,98,45,0.5148221343873518,0.46936758893280633,0.04545454545454547
P02-A4-PhysioNetMI-CLASSICAL-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,CLASSICAL,A4-C2-MULTI-HARD-VOTE,107,45,0.4494047619047619,0.5535714285714286,-0.10416666666666669
P02-A4-PhysioNetMI-CLASSICAL-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,CLASSICAL,A4-C2-MULTI-HARD-VOTE,27,45,0.4980237154150198,0.4990118577075099,-0.0009881422924901129
P02-A4-PhysioNetMI-CLASSICAL-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,CLASSICAL,A4-C2-MULTI-HARD-VOTE,39,45,0.6442687747035574,0.4209486166007905,0.22332015810276684
P02-A4-PhysioNetMI-CLASSICAL-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,CLASSICAL,A4-C2-MULTI-HARD-VOTE,40,45,0.5892857142857143,0.5416666666666666,0.04761904761904767
P02-A4-PhysioNetMI-CLASSICAL-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,CLASSICAL,A4-C2-MULTI-HARD-VOTE,47,45,0.5982142857142857,0.6398809523809523,-0.04166666666666663
P02-A4-PhysioNetMI-CLASSICAL-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR00:VS:A4-C0-CORE,PhysioNetMI,CLASSICAL,A4-C2-MULTI-HARD-VOTE,48,45,0.6304347826086957,0.5859683794466404,0.0444664031620553
