prompt_section,heading,implementation_evidence,status
0,ROLE,PART I-III + p02_source_utilization_R4.json + decision/reuse/gap matrices,PASS
1,PRIMARY FINALIZATION OBJECTIVE,PART I-III + p02_source_utilization_R4.json + decision/reuse/gap matrices,PASS
2,THIS IS A DOUBLE-CHECK + TRIPLE-CHECK + FINALIZATION PASS,PART I-III + p02_source_utilization_R4.json + decision/reuse/gap matrices,PASS
3,NON-REGRESSION REQUIREMENT,PART I-III + p02_source_utilization_R4.json + decision/reuse/gap matrices,PASS
4,TARGET PHASE AND LAYER,PART I-III + p02_source_utilization_R4.json + decision/reuse/gap matrices,PASS
5,FUNDAMENTAL PHASE/LAYER PRINCIPLE,PART I-III + p02_source_utilization_R4.json + decision/reuse/gap matrices,PASS
6,COMPLETE SOURCE UNIVERSE — MANDATORY,PART I-III + p02_source_utilization_R4.json + decision/reuse/gap matrices,PASS
7,GOVERNANCE V6.1,PART I-III + p02_source_utilization_R4.json + decision/reuse/gap matrices,PASS
8,SEVEN CORE AUTHORITY DOCUMENTS — EXHAUSTIVE USE REQUIRED,PART I-III + p02_source_utilization_R4.json + decision/reuse/gap matrices,PASS
9,PREVIOUS/CURRENT IMPLEMENTATION BUILD BOOK,PART I-III + p02_source_utilization_R4.json + decision/reuse/gap matrices,PASS
10,CUMULATIVE PROTOCOL v1.0 THROUGH P01,PART I-III + p02_source_utilization_R4.json + decision/reuse/gap matrices,PASS
11,PHASE ANALYSIS REPORT THROUGH P01,PART I-III + p02_source_utilization_R4.json + decision/reuse/gap matrices,PASS
12,LAYER 0 THROUGH P01,PART I-III + p02_source_utilization_R4.json + decision/reuse/gap matrices,PASS
13,CUMULATIVE EVIDENCE MAP THROUGH P01,PART I-III + p02_source_utilization_R4.json + decision/reuse/gap matrices,PASS
14,LAYER 10 THROUGH P01,PART I-III + p02_source_utilization_R4.json + decision/reuse/gap matrices,PASS
15,P00/P01 EXECUTION BUNDLES,PART I-III + p02_source_utilization_R4.json + decision/reuse/gap matrices,PASS
16,PRIOR KAGGLE NOTEBOOKS,PART I-III + p02_source_utilization_R4.json + decision/reuse/gap matrices,PASS
17,ALL RELEVANT HANDOFFS,PART I-III + p02_source_utilization_R4.json + decision/reuse/gap matrices,PASS
18,CURRENT CUMULATIVE PROJECT ZIP,PART I-III + p02_source_utilization_R4.json + decision/reuse/gap matrices,PASS
19,AUTHORITY DOCUMENTS VS GENERATED GOVERNED STATE,PART I-III + p02_source_utilization_R4.json + decision/reuse/gap matrices,PASS
20,DECISION RESOLUTION — DO NOT PREMATURELY DECLARE TBD,PART I-III + p02_source_utilization_R4.json + decision/reuse/gap matrices,PASS
21,MANDATORY DECISION-RESOLUTION ORDER,PART I-III + p02_source_utilization_R4.json + decision/reuse/gap matrices,PASS
22,CROSS-DOCUMENT SYNTHESIS IS REQUIRED,PART I-III + p02_source_utilization_R4.json + decision/reuse/gap matrices,PASS
23,OWNER-DECISION RULE,PART I-III + p02_source_utilization_R4.json + decision/reuse/gap matrices,PASS
24,STRETCH VERSION REQUIREMENT,PART I-III + p02_source_utilization_R4.json + decision/reuse/gap matrices,PASS
25,OFFICIAL LAYER 2 MODULE AUDIT,PART IV-VI + p02_l2_submodule_capability_matrix_R4.yaml + model/reuse matrices,PASS
26,SUBMODULE / CAPABILITY EXHAUSTION,PART IV-VI + p02_l2_submodule_capability_matrix_R4.yaml + model/reuse matrices,PASS
