layer2_product,identity_or_schema,produced,canonical,downstream_consumer,availability,integrity,limitation,ready
PredictionRecord partitions,iharq://schemas/p02/predictionrecord/v1,YES,CURRENT_CANONICAL,P03/L3,"POINTER_BACKED; 1,014 partition manifests local; heavy rows recoverable from preferred workspace",Stage20 required prediction/support fields PASS,conditional score semantics; preserve class order and lineage,YES
ModelRegistryRecord + checkpoint lineage,iharq://schemas/p02/modelregistryrecord/v1,YES,CURRENT_CANONICAL,P03/L3,672 light ModelRegistryRecord rows local; heavy checkpoints external where applicable,672 rows/partition manifests; checkpoint SHA fields governed,conditional branch failures/skips remain visible,YES
BaselineMetricRecord,iharq://schemas/p02/baselinemetricrecord/v1,YES,CURRENT_CANONICAL,P03 context,LOCAL,"2,625 rows; schema frozen",A0 raw accept-all semantics; use governed aggregation,YES
LowCalibrationCurveRecord,iharq://schemas/p02/lowcalibrationcurverecord/v1,YES,CURRENT_CANONICAL,P03 context,LOCAL,36 rows; schema frozen,one frozen subset per budget; not repeated-subset stability evidence,YES
SubjectProfileRecord,iharq://schemas/p02/subjectprofilerecord/v1,YES,CURRENT_CANONICAL,P03 context,LOCAL,18 rows; schema frozen,participant scope follows frozen test population,YES
EnsembleControlRecord + A4 analysis inputs,iharq://schemas/p02/ensemblecontrolrecord/v1,YES,CURRENT_CANONICAL,P03 context,LOCAL,342 records + governed A4 analysis inputs,single canonical refit repeat/deep anchor budgets; Stage18S separate post-hoc,YES
FailureCaseIndex,iharq://schemas/p02/failurecaseindex/v1,YES,CURRENT_CANONICAL,P03/L3,LOCAL,648 records; schema frozen,do not conflate failure/skip/incompatibility classes,YES
NegativeResultNote,iharq://schemas/p02/negativeresultnote/v1,YES,CURRENT_CANONICAL,P03/L3,LOCAL,340 records; schema frozen,negative result does not imply universal ineffectiveness,YES
DiagnosticOnlyFlag,iharq://schemas/p02/diagnosticonlyflag/v1,YES,CURRENT_CANONICAL,P03/L3,LOCAL,309 records; schema frozen,diagnostic artifacts are non-claim-bearing unless separately governed,YES
Layer2ReadinessReport,iharq://schemas/p02/layer2readinessreport/v1,YES,CURRENT_CANONICAL,P03,LOCAL,compatibility_status=PASS; missing_fields=[]; blocking_reasons=[],inherits all persistent P02 limitations,YES
A0 metrics/statistics contract,P02 cumulative analysis contract,YES,CURRENT_CANONICAL,P03 context,LOCAL,678 terminal cells reconciled,no universal decoder winner claim,YES
A4 comparison/statistics contract,P02 cumulative analysis contract,YES,CURRENT_CANONICAL,P03 context,LOCAL,"1,218 terminal cells reconciled",resource-constrained evidence ceiling applies,YES
Stage11/12 correction/amendment lineage,Protocol amendment/successor records,YES,CURRENT_CANONICAL,P03 reproduction context,LOCAL,accepted vs diagnostic lineage preserved,post-observation/source-informed amendments; do not retrospectively normalize,YES
Stage18S sensitivity supplement,P02 Stage18S handoff,YES,CURRENT_CANONICAL,P03 context,LOCAL,supplement PASS; canonical Stage18 unchanged,POST_HOC/DESCRIPTIVE/SENSITIVITY only,YES
Frozen P02 record schemas,P02-RECORD-SCHEMA-FREEZE-R2,YES,CURRENT_CANONICAL,P03/L3,LOCAL,10 governed record schemas; predecessor mutation prohibited,owner-routed warnings/comparison reports remain separate,YES
P03 input contract,P02-TO-P03-INPUT-CONTRACT-R1,YES,CURRENT_CANONICAL,P03,LOCAL,contract parsed and reconciled with Stage20 readiness,P03 may calibrate/threshold; P02 may not,YES
Run/config/freeze identity,Protocol v1 cumulative,YES,CURRENT_CANONICAL,P03 intake,LOCAL,run/config/freeze identities parity checked,recorded environment/config scope,YES
Frozen 38-input Phase Analysis contract,Cumulative Protocol analysis contract,YES,CURRENT_CANONICAL,reproduction,LOCAL,38 canonical P02 analysis inputs verified in prior finalization,analysis-only; no new confirmatory tests,YES
Preferred full P02 workspace snapshot,HF immutable dataset revision,YES,CURRENT_CANONICAL,P03,PRIVATE_EXTERNAL,"manifest + per-object index + 17,089 runtime entries reconciled; 0 unmatched",requires symbolic IHARQ_HF_TOKEN_P02; live remote not claimed,YES
Archival/chunked P02 release,HF immutable archival revision,YES,CURRENT_CANONICAL,reproduction/archive,PRIVATE_EXTERNAL,10 uploaded object paths/sizes/SHA recorded,fallback; preferred workspace remains direct continuation source,YES
Readiness/handoff/evidence/export gates and underlying artifacts,runtime stage artifacts,YES,CURRENT_CANONICAL,P03/reproduction,LOCAL,Stage20/22/23/24 PASS; underlying readiness/contract/manifest artifacts included,"gate PASS is supporting evidence, not sole basis",YES
