study_id,Study,Model/topic,Source,DOI,URL,Original setting,IHARQ relation,Comparability,Key use
LIT-EEGNET,Lawhern et al. 2018,EEGNet,Journal of Neural Engineering 15(5):056013,10.1088/1741-2552/aace8c,https://pubmed.ncbi.nlm.nih.gov/29932424/,Four BCI paradigms; within- and cross-subject; compact depthwise/separable CNN; limited-data emphasis,"EEGNet is one P02 neural decoder; IHARQ uses frozen P01 binary left/right task, subject-group split, 160 Hz 8-32 Hz 3 s windows, governed validation/test isolation",methodological reference only / partial architecture comparison,Motivates compact EEG-specific architecture and source-centered training recipe; not a direct performance benchmark.
LIT-FBCNET,Mane et al. 2020/2021,FBCNet,IEEE EMBC 2020; extended FBCNet preprint/toolbox,PMID 33018625; arXiv:2104.01233,https://pubmed.ncbi.nlm.nih.gov/33018625/,Filter-bank multi-view MI decoder with variance layer; subject-specific/cross-validation settings including OpenBMI/BCIC-IV-2a,"P02 uses author-centered model construction but IHARQ split, binary task, preprocessing, low-label budgets and test isolation differ",methodological reference only,Supports use of filter-bank/variance inductive bias; source diagnostics informed Stage12 author-centered horizon.
LIT-DBCONF,Wang et al. 2026,DBConformer,IEEE Journal of Biomedical and Health Informatics 30(5):4134-4147,10.1109/JBHI.2025.3622725,https://pubmed.ncbi.nlm.nih.gov/41129442/,"Dual temporal/spatial Conformer across MI, seizure and SSVEP under four evaluation settings",P02 DNN-SEQ resolves to DBConformer with P01-compatibility patch and IHARQ-specific binary subject-group protocol,methodological reference only,Context for strong descriptive full-training performance on two IHARQ datasets; headline paper results are not numerically comparable.
LIT-CBRAMOD,Wang et al. 2025,CBraMod,ICLR 2025,ICLR 2025 proceedings,https://proceedings.iclr.cc/paper_files/paper/2025/hash/bbbd6d915cb90be21c1254a82d45cedd-Abstract-Conference.html,Criss-cross EEG foundation model; masked pretraining; 10 downstream tasks across 12 public datasets,P02 fine-tunes/uses governed CBraMod branch under P01 binary MI substrate and P02 model-local adaptation,methodological reference only,Context for foundation-model branch and the difficulty of transferring generic pretrained representations under constrained task-specific supervision.
LIT-RIEMANN,Barachant et al. 2013,Riemannian covariance methods,Neurocomputing 112:172-178,10.1016/j.neucom.2012.12.039,https://www.sciencedirect.com/science/article/abs/pii/S0925231213001574,Covariance-matrix classification with Riemannian kernel for MI BCI,P02 includes Riemannian tangent-space and alignment variants under a common subject-grouped test protocol,methodological reference only,Context for competitive classical/Riemannian baselines and covariance geometry.
LIT-MOABB,Chevallier et al. 2024,MOABB reproducibility benchmark,large open EEG-BCI reproducibility benchmark,arXiv:2404.15319,https://arxiv.org/abs/2404.15319,"30 pipelines, 36 public datasets; standardized benchmark spanning raw, Riemannian and deep pipelines","P02 similarly values multi-family, multi-dataset comparison but uses its own frozen P01 split/budget/ablation contract",contextual benchmark only,Supports interpretation that model-family performance is evaluation-regime dependent and reproducible benchmarking matters.
LIT-EEGPT,Wang et al. 2024,EEGPT,NeurIPS 2024,10.52202/079017-1239,https://proceedings.neurips.cc/paper_files/paper/2024/hash/4540d267eeec4e5dbd9dae9448f0b739-Abstract-Conference.html,10M-parameter pretrained transformer; multi-task EEG pretraining and linear probing,Not executed in P02; contextualizes contemporary foundation-model direction and challenges of inter-subject/channel heterogeneity,methodological reference only,Broader literature positioning only; not an IHARQ comparator.
LIT-OPENBMI,Lee et al. 2019,OpenBMI / Lee2019_MI dataset,GigaScience 8(5):giz002,10.1093/gigascience/giz002,https://pmc.ncbi.nlm.nih.gov/articles/PMC6501944/,Large EEG dataset/toolbox spanning MI and other BCI paradigms,"Source dataset for Lee2019_MI; P01 imposes IHARQ binary labels, preprocessing and subject-group roles",dataset provenance; protocol differs,Dataset provenance and external context.
LIT-PHYSIONET,Schalk 2009,EEG Motor Movement/Imagery Dataset,PhysioNet v1.0.0,10.13026/C28G6P,https://www.physionet.org/content/eegmmidb/1.0.0/,64-channel BCI2000 motor execution/imagery recordings,"Source dataset for PhysioNetMI; P01 freezes legal left/right MI subset, preprocessing and subject-group split",dataset provenance; protocol differs,Dataset provenance.
LIT-BCIIV,Tangermann et al. 2012,BCI Competition IV dataset 2a,Frontiers in Neuroscience 6:55,10.3389/fnins.2012.00055,https://www.frontiersin.org/journals/neuroscience/articles/10.3389/fnins.2012.00055/full,22 EEG channels; four-class MI; competition train/test sessions,Source family underlying BNCI2014_001; IHARQ uses binary left/right task and own frozen subject-group roles,dataset provenance / contextual only,Dataset provenance and warning against direct comparison to four-class competition scores.
